24.549234200015178,"[7.007162154390553, 2.128818722105456]","[7, 2]","[0.751029886622042, 0.725785407225980]","[0.097953900359, 1.84889274661e-32, 0.902046099641]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,190410,1.11162097055060,43.6060210006880
0,2,192399,1.58706694534082,60.9285765541717
0,3,201378,2.71252216438761,104.206697858631
0,4,186181,3.49722020467048,132.489400969239
0,5,138625,4.20929071386938,162.165134348804
0,6,123602,4.83403556620753,187.238931590194
0,7,117332,5.22647807304682,199.051401829344
0,8,82011,4.82061229415398,184.616180399062
0,9,61886,5.75519212240606,222.576952804444
0,10,36715,6.88733382521108,268.186392123037
0,11,42559,6.77415242141685,274.849287425931
0,12,32071,7.71762495663548,309.737330594005
0,13,12653,9.57712457877471,384.875777193679
0,14,6568,11.127282613254648,474.026409348220
0,15,3275,16.7233145837111,737.341314008217
0,16,4454,15.986875868899311,703.443577793372
0,17,0,0,0
0,18,0,0,0
0,19,0,0,0
0,20,0,0,0
1,0,29893,1.21376488088911,43.0772068531607
1,1,96663,1.38909422912559,49.8230848924922
1,2,84085,1.75958948551050,64.9404360749910
1,3,82660,3.72575904696867,144.108436843347
1,4,82544,4.10557924347708,160.965926175844
1,5,68738,5.01086087618432,196.209907120012
1,6,72401,4.86985441099889,188.145546433833
1,7,63488,5.16917764688077,197.668316818634
1,8,40864,5.72353005533229,222.242640000709
1,9,25311,5.61071361670969,222.696206300882
1,10,19574,7.69441234278078,314.666679641650
1,11,18558,8.29831503638240,358.572275964984
1,12,9273,8.867058700922616,375.679338752618
1,13,2830,11.650477713462454,483.215130175734
1,14,3014,10.897373738364752,485.063351423645
1,15,655,17.42291191566742,767.145630035686
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
2,0,10874,1.432650240061531,50.9396228835738
2,1,15057,1.71351508973164,64.0843213034365
2,2,14573,1.8035160921408682,64.4155268114486
2,3,11997,4.94694811199494,192.056021679535
2,4,18375,6.33332428109064,250.189621460386
2,5,15877,4.69470661920357,182.363055102142
2,6,15716,4.84094411518138,179.409896851756
2,7,14100,5.78070329732752,222.838643578391
2,8,7253,5.10308758782420,191.678876610568
2,9,5915,5.665866922694007,225.582185427510
2,10,1488,6.683978620198452,295.686976812005
2,11,3605,7.69101547031150,343.885883100547
2,12,1305,5.042096895447362,197.795268957528
2,13,262,18.745991546399623,832.124055821708
2,14,917,17.640041726485,779.513462459513
2,15,0,0,0
2,16,0,0,0
2,17,0,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
3,0,1606,2.34272684260045,83.8762498433974
3,1,1751,4.08059847604156,155.615451393863
3,2,3131,5.31439524328380,202.937737605909
3,3,2997,6.051398614337528,237.025989737734
3,4,1530,6.466252801836029,253.890031766801
3,5,3897,4.339771693202988,177.922509878002
3,6,1026,6.2817654152657045,245.336089131652
3,7,1593,5.678619656051071,210.623752485375
3,8,776,6.426427239598894,250.642411647907
3,9,285,5.920766523289924,215.080778846709
3,10,957,4.11763990164996,166.181690452468
3,11,709,4.081720476369678,167.473607304861
3,12,0,0,0
3,13,0,0,0
3,14,0,0,0
3,15,0,0,0
3,16,0,0,0
3,17,0,0,0
3,18,0,0,0
3,19,0,0,0
3,20,0,0,0
4,0,286,3.071423512005894,114.000516205940
4,1,574,1.7339784621091787,57.3993220831058
4,2,388,2.926098568518011,85.7228717759491
4,3,598,9.237737957586713,358.630623327935
4,4,2,4.458306632685899,154.237140225634
4,5,3,3.8338428515113137,142.232163335019
4,6,0,0,0
4,7,550,6.12094615125261,224.565970681564
4,8,1375,6.014655830096299,217.425148082805
4,9,0,0,0
4,10,0,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,0,0,0
4,15,0,0,0
4,16,0,0,0
4,17,0,0,0
4,18,0,0,0
4,19,0,0,0
4,20,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,4,6.852724845768556,263.747246281742
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,0,0,0
5,7,550,6.075832874022825,223.040083451716
5,8,0,0,0
5,9,0,0,0
5,10,0,0,0
5,11,0,0,0
5,12,0,0,0
5,13,0,0,0
5,14,0,0,0
5,15,0,0,0
5,16,0,0,0
5,17,0,0,0
5,18,0,0,0
5,19,0,0,0
5,20,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,0,0,0
6,7,0,0,0
6,8,0,0,0
6,9,0,0,0
6,10,0,0,0
6,11,0,0,0
6,12,0,0,0
6,13,0,0,0
6,14,0,0,0
6,15,0,0,0
6,16,0,0,0
6,17,0,0,0
6,18,0,0,0
6,19,0,0,0
6,20,0,0,0
7,0,0,0,0
7,1,0,0,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,0,0,0
7,6,0,0,0
7,7,0,0,0
7,8,0,0,0
7,9,0,0,0
7,10,0,0,0
7,11,0,0,0
7,12,0,0,0
7,13,0,0,0
7,14,0,0,0
7,15,0,0,0
7,16,0,0,0
7,17,0,0,0
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
8,0,0,0,0
8,1,0,0,0
8,2,0,0,0
8,3,0,0,0
8,4,0,0,0
8,5,0,0,0
8,6,0,0,0
8,7,0,0,0
8,8,0,0,0
8,9,0,0,0
8,10,0,0,0
8,11,0,0,0
8,12,0,0,0
8,13,0,0,0
8,14,0,0,0
8,15,0,0,0
8,16,0,0,0
8,17,0,0,0
8,18,0,0,0
8,19,0,0,0
8,20,0,0,0
9,0,0,0,0
9,1,0,0,0
9,2,0,0,0
9,3,0,0,0
9,4,0,0,0
9,5,0,0,0
9,6,0,0,0
9,7,0,0,0
9,8,0,0,0
9,9,0,0,0
9,10,0,0,0
9,11,0,0,0
9,12,0,0,0
9,13,0,0,0
9,14,0,0,0
9,15,0,0,0
9,16,0,0,0
9,17,0,0,0
9,18,0,0,0
9,19,0,0,0
9,20,0,0,0
10,0,0,0,0
10,1,0,0,0
10,2,0,0,0
10,3,0,0,0
10,4,0,0,0
10,5,0,0,0
10,6,0,0,0
10,7,0,0,0
10,8,0,0,0
10,9,0,0,0
10,10,0,0,0
10,11,0,0,0
10,12,0,0,0
10,13,0,0,0
10,14,0,0,0
10,15,0,0,0
10,16,0,0,0
10,17,0,0,0
10,18,0,0,0
10,19,0,0,0
10,20,0,0,0
11,0,0,0,0
11,1,0,0,0
11,2,0,0,0
11,3,0,0,0
11,4,0,0,0
11,5,0,0,0
11,6,0,0,0
11,7,0,0,0
11,8,0,0,0
11,9,0,0,0
11,10,0,0,0
11,11,0,0,0
11,12,0,0,0
11,13,0,0,0
11,14,0,0,0
11,15,0,0,0
11,16,0,0,0
11,17,0,0,0
11,18,0,0,0
11,19,0,0,0
11,20,0,0,0
12,0,0,0,0
12,1,0,0,0
12,2,0,0,0
12,3,0,0,0
12,4,0,0,0
12,5,0,0,0
12,6,0,0,0
12,7,0,0,0
12,8,0,0,0
12,9,0,0,0
12,10,0,0,0
12,11,0,0,0
12,12,0,0,0
12,13,0,0,0
12,14,0,0,0
12,15,0,0,0
12,16,0,0,0
12,17,0,0,0
12,18,0,0,0
12,19,0,0,0
12,20,0,0,0
13,0,0,0,0
13,1,0,0,0
13,2,0,0,0
13,3,0,0,0
13,4,0,0,0
13,5,0,0,0
13,6,0,0,0
13,7,0,0,0
13,8,0,0,0
13,9,0,0,0
13,10,0,0,0
13,11,0,0,0
13,12,0,0,0
13,13,0,0,0
13,14,0,0,0
13,15,0,0,0
13,16,0,0,0
13,17,0,0,0
13,18,0,0,0
13,19,0,0,0
13,20,0,0,0
14,0,0,0,0
14,1,0,0,0
14,2,0,0,0
14,3,0,0,0
14,4,0,0,0
14,5,0,0,0
14,6,0,0,0
14,7,0,0,0
14,8,0,0,0
14,9,0,0,0
14,10,0,0,0
14,11,0,0,0
14,12,0,0,0
14,13,0,0,0
14,14,0,0,0
14,15,0,0,0
14,16,0,0,0
14,17,0,0,0
14,18,0,0,0
14,19,0,0,0
14,20,0,0,0
15,0,0,0,0
15,1,0,0,0
15,2,0,0,0
15,3,0,0,0
15,4,0,0,0
15,5,0,0,0
15,6,0,0,0
15,7,0,0,0
15,8,0,0,0
15,9,0,0,0
15,10,0,0,0
15,11,0,0,0
15,12,0,0,0
15,13,0,0,0
15,14,0,0,0
15,15,0,0,0
15,16,0,0,0
15,17,0,0,0
15,18,0,0,0
15,19,0,0,0
15,20,0,0,0
16,0,0,0,0
16,1,0,0,0
16,2,0,0,0
16,3,0,0,0
16,4,0,0,0
16,5,0,0,0
16,6,0,0,0
16,7,0,0,0
16,8,0,0,0
16,9,0,0,0
16,10,0,0,0
16,11,0,0,0
16,12,0,0,0
16,13,0,0,0
16,14,0,0,0
16,15,0,0,0
16,16,0,0,0
16,17,0,0,0
16,18,0,0,0
16,19,0,0,0
16,20,0,0,0
17,0,0,0,0
17,1,0,0,0
17,2,0,0,0
17,3,0,0,0
17,4,0,0,0
17,5,0,0,0
17,6,0,0,0
17,7,0,0,0
17,8,0,0,0
17,9,0,0,0
17,10,0,0,0
17,11,0,0,0
17,12,0,0,0
17,13,0,0,0
17,14,0,0,0
17,15,0,0,0
17,16,0,0,0
17,17,0,0,0
17,18,0,0,0
17,19,0,0,0
17,20,0,0,0
18,0,0,0,0
18,1,0,0,0
18,2,0,0,0
18,3,0,0,0
18,4,0,0,0
18,5,0,0,0
18,6,0,0,0
18,7,0,0,0
18,8,0,0,0
18,9,0,0,0
18,10,0,0,0
18,11,0,0,0
18,12,0,0,0
18,13,0,0,0
18,14,0,0,0
18,15,0,0,0
18,16,0,0,0
18,17,0,0,0
18,18,0,0,0
18,19,0,0,0
18,20,0,0,0
19,0,0,0,0
19,1,0,0,0
19,2,0,0,0
19,3,0,0,0
19,4,0,0,0
19,5,0,0,0
19,6,0,0,0
19,7,0,0,0
19,8,0,0,0
19,9,0,0,0
19,10,0,0,0
19,11,0,0,0
19,12,0,0,0
19,13,0,0,0
19,14,0,0,0
19,15,0,0,0
19,16,0,0,0
19,17,0,0,0
19,18,0,0,0
19,19,0,0,0
19,20,0,0,0
20,0,0,0,0
20,1,0,0,0
20,2,0,0,0
20,3,0,0,0
20,4,0,0,0
20,5,0,0,0
20,6,0,0,0
20,7,0,0,0
20,8,0,0,0
20,9,0,0,0
20,10,0,0,0
20,11,0,0,0
20,12,0,0,0
20,13,0,0,0
20,14,0,0,0
20,15,0,0,0
20,16,0,0,0
20,17,0,0,0
20,18,0,0,0
20,19,0,0,0
20,20,0,0,0
