24.787787401190382,"[3.657000678338081, 9.41648167962229]","[4, 7]","[0.769419738636862, 0.587954155150596]","[0.483613043217, 0.516386956783, 1.08420217249e-23]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,2624,5.47074779961707,127.914169974703
0,2,3613,5.60758946504194,122.191494982642
0,3,3382,5.91535672416540,118.579136439279
0,4,2481,6.53664944799418,125.834999469875
0,5,1474,6.63437873451405,125.123350113478
0,6,710,7.10825215485941,131.662027215890
0,7,289,8.20616264722938,148.419679141592
0,8,116,6.04217251725471,102.150133050478
0,9,26,3.77488018198671,59.5678746779524
0,10,16,1.57253025252611,19.7074833772292
0,11,2,2.15507788303317,31.8605885081575
0,12,0,0,0
0,13,0,0,0
0,14,0,0,0
0,15,0,0,0
0,16,0,0,0
0,17,0,0,0
0,18,0,0,0
0,19,0,0,0
0,20,0,0,0
1,0,2147,7.83609437314485,139.194911222576
1,1,7524,7.75007570767435,138.415490116021
1,2,11071,7.98786443823706,142.674050670137
1,3,11034,8.33810509513292,148.749752890770
1,4,8142,8.55044978936975,151.895164117976
1,5,5102,8.32724458809725,147.500449264518
1,6,2445,8.08944949538087,142.071761442807
1,7,1002,8.30266693884746,145.762294223178
1,8,318,9.27928687171982,165.660267376041
1,9,129,6.30588213396624,110.829044063286
1,10,53,5.00016849022991,81.0344790434602
1,11,9,7.90100276617516,134.399192710229
1,12,4,7.54577308280561,126.172217138113
1,13,3,2.86147531014298,44.2035323273490
1,14,2,4.11632697096938,65.9260065351291
1,15,1,4.12790726514977,66.4229761842773
1,16,1,4.13652550749843,66.4229761842773
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
2,0,3548,8.52486588478671,152.116096005263
2,1,11552,8.71441682065674,155.808122442198
2,2,18145,8.94988251967720,160.120141810867
2,3,18312,8.98870277157110,160.021512472903
2,4,14072,9.08781040393064,161.168038922925
2,5,8450,8.94403063795954,157.691402150721
2,6,3982,9.29678551240879,164.381399198743
2,7,1544,9.74988617020953,171.340789953213
2,8,515,9.80503267348698,172.047361314324
2,9,162,9.31287527434132,160.895797566384
2,10,74,8.91510205617806,151.949014141675
2,11,30,8.50957813455767,139.078163212894
2,12,13,7.63504115355289,127.198255771217
2,13,7,7.28062187607080,132.274249906403
2,14,5,6.77141487614206,122.723669027772
2,15,3,5.58782878483218,99.3671567513758
2,16,1,6.302085803160736,115.220011793990
2,17,0,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
3,0,3950,9.53487139719148,170.107679840322
3,1,13109,9.37850391093127,168.565752968638
3,2,20688,9.32969138996356,167.191033128897
3,3,20931,9.42657935526319,168.207970688235
3,4,15460,9.66031909105041,171.887153038916
3,5,9398,9.69355412683738,172.259460031964
3,6,4531,9.80265870632046,172.873207081357
3,7,1791,9.95337926672932,176.124274836455
3,8,643,10.2600246823760,181.561755514180
3,9,206,10.9454865138966,194.118608759296
3,10,85,10.3847920863982,177.176335091438
3,11,42,9.46875339963354,154.343221601061
3,12,13,7.34596485016226,119.777974739004
3,13,2,3.93840193415313,71.3601595950835
3,14,2,6.272213415439596,114.674620299949
3,15,1,6.2706847735217295,114.228255178630
3,16,0,0,0
3,17,0,0,0
3,18,0,0,0
3,19,0,0,0
3,20,0,0,0
4,0,3369,9.85706910031759,177.998364742971
4,1,11152,9.92407095254944,179.487110368915
4,2,17317,9.76060190511730,176.522738811566
4,3,17224,9.79139246594609,176.070458065394
4,4,12748,9.96299031249480,178.466222471900
4,5,7635,9.78826558691467,174.425785023935
4,6,3724,9.65469607902879,171.342750972526
4,7,1617,9.54170453243120,169.023671777928
4,8,570,9.24254663265108,162.681395003512
4,9,193,8.98516511627468,154.756099052427
4,10,98,8.51835638122807,140.527958924512
4,11,52,8.27591163674098,134.493908218843
4,12,17,6.95196729216963,107.969645387952
4,13,3,6.76395341566844,108.319770637617
4,14,0,0,0
4,15,0,0,0
4,16,0,0,0
4,17,0,0,0
4,18,0,0,0
4,19,0,0,0
4,20,0,0,0
5,0,2596,10.1286072108503,184.477896690085
5,1,8644,9.92935024239424,180.523105747612
5,2,13533,10.0502154282946,182.457124649801
5,3,13755,10.1018674755038,183.034957825390
5,4,10359,10.2325356129115,184.714756899407
5,5,6394,10.5700162588697,191.400076190596
5,6,3345,10.6896333768607,193.723291046947
5,7,1360,10.1147977849523,182.071233451481
5,8,459,10.5196055965418,188.752014646891
