25.657256668342235,"[4.173495439530884, 2.848430794353576]","[3, 4]","[0.756798793830856, 0.595144131697408]","[0.349378974662, -1.03877268801e-20, 0.650621025338]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,21809,5.89189721390437,202.678802832068
0,2,18331,6.18703673182594,205.576244946217
0,3,18258,6.25474710900078,202.103087279422
0,4,13825,6.36473558567000,199.680557857275
0,5,12148,7.307872486591578,225.294888150850
0,6,8983,7.21315807737641,219.354653160247
0,7,6306,7.761134573749325,236.629612550098
0,8,5053,8.220804211710348,252.427664548720
0,9,4310,10.197400590992935,311.736586845829
0,10,2911,9.217608138209386,282.730957666484
0,11,2289,7.813463828566724,237.676842039126
0,12,2063,8.598541444109129,266.350855646853
0,13,1689,10.640421746215484,328.081730444639
0,14,826,9.915398933092378,303.753968962455
0,15,899,12.029924199768418,372.059862130743
0,16,440,10.848175666137973,337.657640973201
0,17,440,11.343380416961839,342.884908057869
0,18,214,11.123479704019363,341.329784798425
0,19,121,11.783427794374145,371.989528185841
0,20,174,11.913791140871275,361.663779347795
1,0,9447,7.22815458708955,221.233801354675
1,1,35560,7.11794206013756,218.743373566004
1,2,44795,7.16829287735514,218.697834119159
1,3,42061,7.16809147821279,220.180318997043
1,4,35438,7.49764570075583,227.739316087069
1,5,26294,8.35363563235573,254.082439720106
1,6,19265,8.15224056536955,249.746423552181
1,7,14943,8.570162924682979,263.469865453146
1,8,11823,9.414390233639564,288.646432505747
1,9,8487,10.028893266828206,306.178618111378
1,10,6729,8.81889104378506,269.793387609840
1,11,4750,8.653300061766016,263.369969666123
1,12,3970,9.020021276624448,274.145392995798
1,13,3273,9.314786620535637,285.974211343962
1,14,2427,9.253604845392887,285.470891379217
1,15,1627,10.803077199407983,334.794256737509
1,16,1163,12.492981145389,389.349573933875
1,17,923,12.544857803881353,387.458408998827
1,18,646,11.17207814177436,354.498270683976
1,19,521,12.500298000370973,393.942709344228
1,20,384,12.282237669868023,421.563811354393
2,0,10586,7.91963665151124,241.862228363134
2,1,35653,7.53855492143317,231.403727934478
2,2,51074,7.58196008937755,232.032445702192
2,3,53180,7.86376780072070,241.894860921782
2,4,43647,8.60057206712258,262.749340687545
2,5,32444,8.64933812460425,265.224665976388
2,6,23827,8.82927138582161,272.599283733012
2,7,18779,9.25825267709274,285.337063699595
2,8,14732,9.845039419671519,302.239259094946
2,9,12004,10.507781929547248,322.375403889624
2,10,8043,9.923055238049717,304.403617133040
2,11,5654,9.73431291518143,300.824248310555
2,12,4600,9.914322875879417,301.148305541209
2,13,3225,9.757257591503269,299.670766213355
2,14,2426,10.03087689940497,307.461215316898
2,15,1775,9.208420133717384,284.374327764611
2,16,1210,10.255429622268963,319.527182786724
2,17,928,10.655704114464205,342.837395624053
2,18,733,10.841495255304418,352.959204059200
2,19,585,13.547194302587133,473.642216275020
2,20,368,11.075626926826414,387.346547637266
3,0,8382,8.35542410583153,256.078147348787
3,1,25216,8.10335013844486,248.236459339484
3,2,38946,8.52473090087256,262.636564999949
3,3,41231,9.12894851009247,281.049174081016
3,4,33941,9.21845436470496,283.184559811718
3,5,24329,9.198137501386267,283.654035035117
3,6,18719,9.572033659165735,297.304187768801
3,7,14670,9.572968824846184,296.862011354555
3,8,11735,9.891523843552806,305.355946560135
3,9,9115,10.124085238273446,311.213811070363
3,10,7036,9.902960196347188,307.258819743348
3,11,4610,9.61766072897142,296.808131102418
3,12,3358,9.764735603751875,299.562292106317
3,13,2586,9.404678773363948,292.171034342109
3,14,2356,9.012211687241338,277.289352053971
3,15,1500,10.311814129508997,320.831432947420
3,16,1084,10.853124985727487,341.753134350560
3,17,736,10.54793654832456,354.492597520328
3,18,551,13.498738494285032,471.812754753141
3,19,426,11.215949106748786,394.450315432765
3,20,339,13.25216627563526,475.577564157690
4,0,5749,8.38337449637356,256.820090131440
4,1,17052,9.76769395627677,302.146932418745
4,2,26809,9.63038529118933,298.667453558697
4,3,29941,9.61646412758166,297.670386166369
4,4,22787,9.09038421512392,281.041772763550
4,5,18256,9.71845713471717,301.722890431938
4,6,13300,9.753324059382216,303.225202672115
4,7,11284,9.144101169235292,282.837151103076
4,8,8655,10.095790895880793,313.817796188670
4,9,7302,9.80128248762619,306.406989829212
4,10,4919,9.663682574597399,303.946351189069
4,11,3702,9.25132265220566,296.303341633996
4,12,2207,10.55480149643817,336.723218205068
4,13,1790,8.993384927867728,285.384850571298
4,14,1653,10.413102829338229,329.205796340384
4,15,1180,12.430944573397278,398.566216112027
4,16,515,11.9633765531002,390.761144953801
4,17,739,13.939000491982728,488.664197989044
4,18,573,14.666350649944425,530.911877588621
4,19,409,11.322807268712232,408.584280586480
4,20,302,10.02419225317697,382.286624988846
5,0,3526,10.1416143873710,314.102621485655
5,1,11906,9.45760726510851,291.654969339004
5,2,20761,9.53586579907539,297.408969216717
5,3,21245,9.605070515247675,299.174087900867
5,4,18060,9.49406853893987,294.894499411854
5,5,12400,9.47864789636868,295.933730022012
5,6,10129,8.737706326016735,271.710297058128
5,7,8367,8.312202018775844,258.944168412803
5,8,6091,8.468389821321766,265.455521577886
5,9,5401,8.6833583497252,273.221151676563
5,10,3284,9.713871629308752,306.859907182696
5,11,2095,10.002911758588425,316.299093696891
5,12,1507,10.717743791543686,341.766375222442
5,13,1407,9.130047283163837,289.228905104346
5,14,1285,10.534507713215557,335.885266034503
5,15,668,9.667467767302016,309.873328495491
5,16,341,11.97552694065501,403.003227665527
5,17,471,13.624992487673373,481.624720190053
5,18,231,10.039215324504752,354.674140825922
5,19,163,8.35630295571748,305.547857739584
5,20,181,10.386577364196935,396.051202346158
6,0,2040,10.430842697497779,324.460927426294
6,1,7770,9.96919610991145,306.995714464467
6,2,13099,9.40274935779186,291.387897184966
6,3,15244,9.56163169388604,297.678382203209
6,4,12415,9.78630582594453,306.521093924806
6,5,8795,9.60034430902224,303.751235473790
6,6,7271,8.787974168231312,273.636457852743
6,7,6193,8.751803223151205,273.355475470460
6,8,3854,9.594975478573115,305.980731343124
6,9,3462,8.608593749178938,271.604631816305
6,10,2005,9.208724936769736,289.691473656410
6,11,1794,8.768547464635137,281.153434442753
6,12,1223,10.146652977713018,331.871404428491
6,13,885,10.133304253421562,322.946205003968
6,14,874,10.43326208808119,327.548521413287
6,15,720,10.371877747515308,337.759565001840
6,16,324,10.953664046288552,386.081797840578
6,17,247,14.518275928274711,517.684690173025
6,18,91,14.626773187243888,529.123931139881
6,19,109,10.26501664040915,385.604387229575
6,20,66,12.429311814472685,457.677671530579
7,0,1505,9.311356820262096,288.998459859229
7,1,5402,9.72082889343363,299.624663387474
7,2,9562,9.244777913789372,287.624681571319
7,3,9657,10.043665695775273,314.205139520816
7,4,7827,9.43224925787246,295.856713787849
7,5,5754,9.206060749252636,291.718382106414
7,6,4928,9.05827538855113,286.006762957081
7,7,4189,9.775358638856515,311.087790658414
7,8,2903,9.334061015084549,299.789305352639
7,9,2211,9.09902468426502,293.226383649590
7,10,1690,8.959762375134972,285.813523746818
7,11,1216,8.82843043170053,288.489853694027
7,12,827,8.92219735038632,288.887432254707
7,13,594,10.575891055884364,339.721222958992
7,14,602,9.101768403869091,302.729054944706
7,15,286,11.179856055160316,377.139864512799
7,16,185,14.820112360117285,528.100031337338
7,17,84,12.970351185963601,467.732972237805
7,18,91,11.634578168005294,431.831681261928
7,19,68,8.761796851288288,329.923228231210
7,20,43,8.447156250064193,312.281085404800
8,0,748,11.062815669461752,349.538452327520
8,1,3284,9.56793815561714,300.186770316041
8,2,6252,9.340718926103921,292.593482919831
8,3,5676,9.832886065753755,308.223259153094
8,4,5179,10.661063809650301,341.695023957441
8,5,3804,9.139308895736672,293.892333607951
8,6,3243,10.247731055239019,326.409371648179
8,7,2973,10.663508528049,348.290547129726
8,8,1876,8.834085386368661,290.748604599131
8,9,1776,9.646152248136634,317.654899629788
8,10,1195,8.89486137185408,291.196389817114
8,11,1128,7.6669772037078765,248.946561772286
8,12,657,8.138021465241422,265.607642382144
8,13,619,8.04958124232769,262.870702353120
8,14,400,11.412438539380487,397.314666842516
8,15,195,13.318960108402546,467.785942629990
8,16,167,12.285942250497264,445.229054305620
8,17,100,9.54587678677664,344.255759133181
8,18,49,11.037025177412017,415.111197817089
8,19,49,8.067920562775276,294.573765239085
8,20,104,7.446466134762559,273.586742848840
9,0,587,10.754690082831074,355.214754798123
9,1,2453,9.926956964304486,320.269694602373
9,2,3203,9.953191765503393,319.318098223162
9,3,4582,10.407748675183134,336.214253570046
9,4,3796,11.253421585912895,363.059292745372
9,5,3145,10.920181514484016,357.124900989603
9,6,2395,11.327134779086693,374.713072646428
9,7,1883,9.739969346401876,326.271856818378
9,8,1555,9.57119527041212,313.434314392068
9,9,1261,9.860291473806388,317.213551991855
9,10,1081,7.460746147231044,242.168710838925
9,11,1089,6.210432715611581,198.508110142163
9,12,626,8.407575291241361,268.572980800103
9,13,456,10.61724226420447,356.489251424448
9,14,210,14.133714479214644,508.528846999866
9,15,162,13.212363391517,484.024920111072
9,16,76,14.471890214042896,526.151062000344
9,17,44,11.011471757133739,420.106125447557
9,18,46,8.069400143010286,309.265984193620
9,19,90,8.382063336329756,302.953973529297
9,20,158,6.3712155792722305,234.991709338370
10,0,574,8.52702475174159,279.647419323288
10,1,1308,10.313466630446142,335.797375391910
10,2,2403,10.988138392244249,357.301347832119
10,3,3217,11.614610815457807,378.617120978578
10,4,3242,10.92156810584168,357.819333933557
10,5,2339,10.04764205609593,341.303720762577
10,6,1495,10.838391198440924,367.905659280592
10,7,1421,10.062896915280344,335.127503551370
10,8,1394,10.09053114522766,331.031382876424
10,9,827,9.786591777804505,315.069919607441
10,10,586,9.420283953479938,307.280841280394
10,11,658,8.662947261273915,300.471370195329
10,12,445,9.63643591405241,334.155017805197
10,13,205,10.756112428746102,381.963964107510
10,14,228,13.159166647225485,486.119054858025
10,15,88,12.537777117141006,449.915620712906
10,16,16,13.592683232905053,501.993936612684
10,17,19,10.159286873577756,375.276401191107
10,18,18,14.20813636552335,566.159374675406
10,19,34,10.698458668509916,420.418675327944
10,20,49,6.904727790431513,265.406428895793
11,0,287,10.2546037625817,336.118871321639
11,1,972,11.886014942634414,384.820231891652
11,2,1714,12.604123581487807,415.446841235969
11,3,1897,11.223365514589819,371.033415207981
11,4,1766,10.289154944143846,345.344960266784
11,5,1496,10.958247185491565,375.422278283317
11,6,1111,10.528280551556183,363.713594197084
11,7,1077,9.573168134953356,327.581025314295
11,8,1059,10.32118441402018,339.952450422774
11,9,737,10.954115185442612,358.047753555756
11,10,552,9.091896729400768,302.446667428640
11,11,665,7.918834092516325,275.871025480449
11,12,212,9.053424725686188,318.880048955186
11,13,74,12.911363740738494,469.709858160778
11,14,37,9.504369113506169,349.063606048866
11,15,34,13.223992254310645,486.076062631544
11,16,16,9.68379024444085,348.745065247776
11,17,25,10.465583254908143,393.163445909803
11,18,14,12.93603388365191,513.850319292907
11,19,7,11.148825697932379,427.830618185304
11,20,4,17.0736967351135,697.625590500882
12,0,142,9.062946097496031,291.567029751704
12,1,787,13.792286211758865,468.535718219524
12,2,1221,11.70451206510661,392.072480648725
12,3,1565,11.100538163232754,379.298861316613
12,4,1303,11.241531846721704,390.376561331429
12,5,1028,13.224167474910262,472.111454770241
12,6,621,12.306361683998643,431.803067761969
12,7,709,8.885560967236108,292.979329175271
12,8,949,9.95800546684662,320.571365427353
12,9,738,9.672336626331765,308.558941147178
12,10,455,9.53917401615345,300.771510446727
12,11,118,11.99454245532652,412.545666884097
12,12,72,12.074263215655277,442.942118159408
12,13,18,11.651093823918153,419.524238247011
12,14,25,14.313596245321948,518.607107675585
12,15,39,12.898577937266952,460.071575862491
12,16,9,17.116913385084754,697.994155240503
12,17,7,18.311247858734454,757.164920496541
12,18,2,18.030903197949918,754.459613224706
12,19,2,16.810784861956407,686.257487007750
12,20,11,11.605809668917466,406.389118113619
13,0,92,9.092795110527746,292.183906386608
13,1,350,10.145249107851727,321.759871960987
13,2,652,12.000842600643285,412.150568097218
13,3,1061,11.720365918528923,405.653150650311
13,4,924,14.382843128468611,522.635191885453
13,5,627,13.945315963328765,478.243374190669
13,6,523,11.813057779021811,400.896268806277
13,7,557,10.596846115972395,350.506684231477
13,8,556,9.524331718628746,307.560777184814
13,9,314,8.90058348930967,281.508226970784
13,10,234,10.073324834355,340.780405698254
13,11,120,12.58472500409464,453.225799406861
13,12,41,11.845351659576957,438.924871365487
13,13,23,13.349103958295986,485.624660468284
13,14,11,10.728093653416622,367.949105028304
13,15,3,17.61137384914866,736.653893442260
13,16,14,15.221624049024912,553.777150936930
13,17,6,14.713450665002256,519.802011521970
13,18,0,0,0
13,19,6,15.06536504101087,608.031627264856
13,20,8,12.211912434276726,416.781138586718
14,0,76,10.024522558345968,351.586485691277
14,1,388,10.938289692499922,389.054923287669
14,2,644,9.373995354464311,318.169395984411
14,3,1056,13.136603750826573,466.485852254521
14,4,554,13.014909856029295,464.844924068207
14,5,555,12.622473067403911,416.074752776275
14,6,570,11.130599062243888,357.360475237702
14,7,332,9.894925366938061,318.425951117975
14,8,170,10.2472146059656,336.897598208408
14,9,84,12.494223955015968,417.054679830542
14,10,82,12.785604892802029,450.753775145106
14,11,36,12.84497670732431,464.500016235086
14,12,73,12.611663897587029,438.952661250740
14,13,26,12.36199794006503,451.931151590408
14,14,19,12.731047657399362,449.574779918714
14,15,7,15.273386217458471,554.687606499151
14,16,12,14.723406265071766,520.082349919187
14,17,6,14.712156125600329,519.017196034040
14,18,0,0,0
14,19,6,14.016244862635626,478.030756710637
14,20,7,13.001965856467384,444.310167592472
15,0,86,16.631560422479097,629.021843562646
15,1,164,11.282254772526988,380.047369656698
15,2,539,13.984455469855813,517.737371522904
15,3,701,12.807030522721975,474.875109217471
15,4,335,12.256100485369608,426.044560042272
15,5,213,10.703287758306454,357.094296298783
15,6,237,10.24733595633094,335.659288463483
15,7,115,8.721568312595645,291.966153456024
15,8,85,11.251176175415555,388.249101105312
15,9,88,10.27339307074534,336.436711518662
15,10,25,11.970650213333773,419.539184946662
