25.68790055063313,"[9.411746733844685, 5.91958876928403]","[6, 7]","[0.690681061487346, 0.647550406473095]","[1.0, -2.22044604925e-16, -2.22044604925e-16]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,2684,2.95821875075536,25.1128507202803
0,2,3145,2.76170019868653,22.9624606332109
0,3,3740,2.7575003398143783,22.6283348296698
0,4,3742,2.7158500305113633,22.6857280433235
0,5,3269,2.664244180611938,22.9365160401500
0,6,2547,2.590171047417331,22.6144445896725
0,7,1900,2.576287285521794,22.0971633006714
0,8,1200,2.759139287528878,22.7549729273029
0,9,780,3.072396048080231,24.4429143805251
0,10,480,3.2489647012351126,25.4098576471186
0,11,297,3.755236955574491,29.2721784689694
0,12,170,3.320810563984939,25.5247020027345
0,13,98,3.6798732921758655,29.1115111999471
0,14,60,3.7718120920444655,29.5401845603131
0,15,20,4.315679908320063,35.5061719629890
0,16,10,4.569203804036624,35.8323225275250
0,17,6,4.880461281826673,37.6173730430178
0,18,3,7.18510014050407,58.7310158821516
0,19,3,8.019687123562095,67.0951240629414
0,20,2,5.227857845032537,45.8552024979243
1,0,1852,3.18963641378299,23.6364052091358
1,1,5527,3.22501930466889,24.1448063824107
1,2,8032,3.02131554260127,22.5852610794949
1,3,10904,2.97437196410720,22.0482250982821
1,4,12685,2.88573773507287,21.4739560409624
1,5,11889,2.93799485362793,21.9634408263937
1,6,9992,2.9743194328652085,22.0719878870835
1,7,6653,3.112498360033449,23.1462243913881
1,8,3786,3.2329366367800705,24.2211142610033
1,9,2536,3.1501213622812987,23.7066155412150
1,10,1627,3.175424597843382,23.5638836655422
1,11,958,2.761952440171458,20.5492984842255
1,12,505,2.8814860376177838,21.6364839858633
1,13,259,3.2624176399370874,25.2884224455387
1,14,172,3.4508199740694967,26.9228375536933
1,15,119,2.6256637670565124,20.1950359413333
1,16,62,3.1106853454583434,24.5184389254148
1,17,21,3.5243768377790703,27.9321480050882
1,18,12,2.936717158376709,26.4295300664725
1,19,10,4.861866346123,37.7732075530246
1,20,7,5.888193914941536,46.3004543865543
2,0,2256,3.36470438043655,24.9185451766664
2,1,7325,3.33395735229285,25.1543417907853
2,2,12812,3.15761819269234,23.7002058907854
2,3,19101,3.02205983648746,22.5683825468365
2,4,21448,3.03114682598262,22.7674789342223
2,5,20135,3.09267764771561,23.1816835507707
2,6,15983,3.2288207268302416,24.2167680349151
2,7,10436,3.33156032916161,25.1342802220580
2,8,6291,3.1935540460957617,24.1420440772764
2,9,4100,3.125407386528745,23.7218141447637
2,10,2382,3.1151110843476038,23.4380266960776
2,11,1409,3.0791945448371147,23.3717273897935
2,12,708,3.2121175668575686,24.7999178302095
2,13,474,3.5812977866745856,28.2218634835882
2,14,321,3.54004102464598,27.4519207425647
2,15,177,3.2430561880567024,25.2542282962645
2,16,77,3.8413104506479665,30.4874852399714
2,17,41,3.942848706731751,32.8740559763644
2,18,32,3.758023463940652,29.6433229479511
2,19,24,6.415607378524797,47.2589538523876
2,20,8,5.864852298203014,43.4623740896325
3,0,1979,3.47306179912349,26.0864830406072
3,1,7065,3.40272263750602,25.8956812425991
3,2,13285,3.19963879089745,24.1657207882174
3,3,19593,3.18136214605068,24.0008557725633
3,4,22433,3.21162173353280,24.2762139580578
3,5,21326,3.238651643893548,24.5060193558998
3,6,16305,3.3609132159313644,25.5431095543877
3,7,10557,3.2189578827583456,24.4308642696443
3,8,6377,3.302649058756879,25.0885660196396
3,9,3922,3.2935161238513038,24.9381852769242
3,10,2442,3.563928893869363,27.0725726269047
3,11,1371,3.560518811510662,27.4844314112367
3,12,806,3.332419433398719,26.1971062667574
3,13,556,3.5010925201681315,27.6169332601048
3,14,291,3.7177608596209284,29.2522158018090
3,15,116,4.258889084270572,34.3958378954994
