27.86645414451346,"[6.741706675133209, 9.380323684341402]","[7, 7]","[0.576941525420335, 0.732464547025293]","[1.0, 2.77555756156e-17, -5.55111512313e-17]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,824,5.45199431031412,51.0183550057452
0,2,779,5.29679459300397,49.9225562090107
0,3,792,5.26269999647696,48.0383815718780
0,4,690,4.62643726974664,43.3807588210192
0,5,442,4.584296451454932,42.9923303093108
0,6,248,4.558170477954116,46.1395529728466
0,7,115,4.63227043371336,43.4412813977319
0,8,57,3.578505170116555,28.1428411835358
0,9,43,4.482861801583213,34.3645233320716
0,10,23,3.1989891576705234,24.0169012450528
0,11,17,2.6672891012707893,18.1516853933338
0,12,16,2.3102514886034244,15.1218699888711
0,13,6,2.2125214148464813,16.5352263602281
0,14,6,2.4914037159201623,16.5352263602281
0,15,0,0,0
0,16,0,0,0
0,17,0,0,0
0,18,0,0,0
0,19,0,0,0
0,20,0,0,0
1,0,948,6.94243533143537,50.6509430032763
1,1,2802,6.92166609047735,50.8872195880129
1,2,3921,6.31172841082131,46.3445329248315
1,3,4406,6.202057388538506,45.5158066390859
1,4,3689,6.455350055175698,47.4082130927855
1,5,2609,6.429053548554079,47.2574129769949
1,6,1390,6.463336694492574,47.0129682967604
1,7,617,6.897003352777304,49.5750548372731
1,8,245,5.771024346360569,42.0591659399801
1,9,77,6.28763213191063,47.0414995321159
1,10,28,9.629968339957282,72.2291204521423
1,11,24,2.5336337732701333,17.2379800876074
1,12,16,3.55125263944997,24.9338068464775
1,13,23,2.200597932391665,14.8633213005495
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
2,0,1897,7.40695432590106,54.4248833332924
2,1,5794,7.01458475679242,51.8942040862646
2,2,9378,6.82715561838492,50.4075855670492
2,3,10488,7.075963262507515,52.1798384044463
2,4,8853,7.03397281315121,52.0711678892481
2,5,5821,7.029108712149367,52.0220583829555
2,6,3052,7.089673171432276,52.2086627932668
2,7,1332,6.686803300854223,49.3616889864533
2,8,565,7.059116431193568,53.1628251715426
2,9,230,7.000475909310622,52.7410523711458
2,10,81,5.686872293223254,43.8638650318914
2,11,55,3.9000386654511554,27.8611399606002
2,12,38,3.0293011540165664,21.7881909338120
2,13,36,2.2945890286767345,15.8539464198421
2,14,3,11.976471637726696,97.42164767250279
2,15,2,11.994062863785526,97.54862443418537
2,16,1,5.6849876313604994,40.7918557526554
2,17,0,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
3,0,2768,7.39179456801924,54.4192153484928
3,1,8671,7.10420912229005,52.4340022105202
3,2,14199,7.24340938501795,53.5201908707293
3,3,15579,7.301252830577811,53.9424631559544
3,4,12951,7.248037721868543,53.7759441867903
3,5,8534,7.122906450491451,52.7082478524475
3,6,4495,6.933522075224116,51.1846740960945
3,7,1991,7.011109282284691,52.2637968849424
3,8,858,6.424919481963914,47.7235245352238
3,9,270,5.1592323704031156,37.5821514555690
3,10,132,5.077338152501977,36.1831668172324
3,11,70,5.55191520162195,39.8531289675143
3,12,36,2.433375835681628,16.8572742550507
3,13,22,2.284726263227615,15.8757547414585
3,14,5,9.385812108942577,74.1683511719327
3,15,4,5.575953866773527,39.9372623297104
3,16,2,5.63849500975628,40.4979756935370
3,17,0,0,0
3,18,0,0,0
3,19,0,0,0
3,20,0,0,0
4,0,2846,7.21672181751355,53.2078475121685
4,1,9462,7.07981898437506,52.3503581119313
4,2,15540,7.22069793842646,53.3437435863748
4,3,17417,7.384995348658301,54.6961002529520
4,4,14486,7.332144682406855,54.4823609374139
4,5,9772,7.233726402685535,53.7850677667280
4,6,5002,7.386626972248571,54.7588814801409
4,7,2379,7.207608388929066,53.7462417436141
4,8,946,6.596675942531098,49.1571851929543
4,9,408,6.114492890315415,45.3378783306070
4,10,171,6.263425888671429,47.6438727797691
4,11,70,6.609607596611624,49.1598001527386
4,12,26,4.43842276114895,30.7198442510919
4,13,4,10.534726395399503,76.0261568663885
4,14,2,5.537822926052927,39.5769965497083
4,15,2,5.666949103080036,40.9625934990046
4,16,0,0,0
4,17,0,0,0
4,18,0,0,0
4,19,0,0,0
4,20,0,0,0
5,0,2471,7.37987943207797,55.0163865595821
5,1,8329,7.24207889547986,53.8129923041779
5,2,14174,7.415322666966805,55.1589660001461
5,3,16136,7.4386235539623815,55.4237989328785
5,4,13581,7.354280057169989,54.9591024596271
5,5,8615,7.340823731635945,54.8325566003867
5,6,4490,7.349088835368599,54.6556088736191
5,7,2080,7.147155048520775,53.2152279074911
5,8,902,6.729882624742064,49.5963398842243
5,9,344,6.349422518142031,47.9208385078801
5,10,152,6.516848485828033,49.8346704141678
5,11,67,5.281247749088011,39.0625015519181
5,12,29,3.8788550752453057,27.2680749129821
5,13,3,10.667481416691082,74.4698868851106
5,14,3,5.5014200653158385,39.4039887232691
5,15,1,5.38574354972441,38.1304289538432
5,16,0,0,0
5,17,0,0,0
5,18,0,0,0
5,19,0,0,0
5,20,0,0,0
6,0,1727,7.599507820515494,56.6879356037857
6,1,6160,7.361004307652622,55.0004439289954
6,2,10944,7.441752663036084,55.5283594314357
6,3,12535,7.558062342382367,56.7383694825900
6,4,9920,7.365192372027693,55.3104784238391
6,5,6344,7.186739416901543,53.7855041726565
6,6,3338,6.936622334710077,51.9024452583252
6,7,1626,7.0540141654804485,52.3370282098988
6,8,559,6.726297143048346,49.7611483586969
6,9,206,6.60270272449994,49.9040019213333
6,10,65,6.408223640186791,47.8438811280428
6,11,44,4.407039710607403,31.2974824806359
6,12,6,7.538408754150301,56.2458088876622
6,13,4,4.861989008873236,36.2230070579849
6,14,2,5.397985392099914,38.2828795697042
6,15,1,5.422051727415017,38.3463397741308
6,16,1,24.08076730910984,182.239222888627
6,17,1,24.083332049936683,182.239222888627
6,18,0,0,0
6,19,0,0,0
6,20,0,0,0
7,0,1151,7.3555985767741845,55.3446778850692
7,1,4324,7.19856970383332,53.6651487883467
7,2,7350,7.579363454654782,56.7713175399115
7,3,7748,7.64040807888156,57.5054613344003
7,4,6199,7.224681414975062,54.3258974547168
7,5,3937,6.978494209219502,52.3522005243147
7,6,2071,6.846715143028584,51.0662408018708
7,7,868,6.972974736089599,51.3493309165201
7,8,310,6.224815964112922,46.0258796409154
7,9,89,5.189737432213092,37.8862503352232
7,10,51,4.559513491340972,31.9280013174784
7,11,14,5.226865185873467,37.0355325937144
7,12,6,4.099408359489673,31.4250615161445
7,13,2,4.153832350688905,31.9741881733694
7,14,1,5.429340348148486,38.5320500234052
7,15,1,24.049156140880015,182.060526769934
7,16,2,24.07533856414185,182.274696389118
7,17,0,0,0
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
8,0,692,7.916518573083213,59.1693131871010
8,1,2588,7.388467568091317,55.2449243639054
8,2,4172,7.693256783846947,57.5478278738368
8,3,4374,7.56928815375755,57.0018400433536
8,4,3461,7.241525146290538,55.1555606410965
8,5,2204,7.416429401415963,55.7674579821926
8,6,1046,7.580678481942628,56.1791485766613
8,7,439,7.372163143166421,54.7083446361917
8,8,190,7.086221997089659,52.6025228010809
8,9,83,5.092169667348199,36.3858183288493
8,10,34,5.4164629986293615,38.8643957580020
8,11,11,8.420983712900297,61.3091730108187
8,12,3,17.79145346066772,133.586231930780
8,13,2,14.695365542618731,109.325955054460
8,14,0,0,0
8,15,2,24.06817720390285,182.322158815733
8,16,0,0,0
8,17,0,0,0
8,18,0,0,0
8,19,0,0,0
8,20,0,0,0
9,0,401,8.08364062984313,61.4361818565181
9,1,1610,7.451927183184745,55.9077725265497
9,2,2530,7.5747495768245505,56.5419428038436
9,3,2503,7.370681478073911,56.0432176458329
9,4,2029,7.682890590330191,58.6322370413611
9,5,1170,8.428886532073758,63.0360323338297
9,6,517,8.304325252982954,62.3306248793958
9,7,253,7.100840148063417,53.4166416186313
9,8,116,6.267341684607023,46.5138232211801
9,9,32,4.672261258351111,33.8656998862423
9,10,9,8.048762108281956,59.1854532368855
9,11,8,8.719184523266623,66.3161995449172
9,12,4,19.34681593632932,145.527939578144
9,13,1,24.02364726797,181.805302582596
9,14,2,24.06646649346576,182.356807724088
9,15,1,24.042701845646352,181.805302582596
9,16,0,0,0
9,17,0,0,0
9,18,0,0,0
9,19,0,0,0
9,20,0,0,0
10,0,277,8.069651054493363,61.2489174585807
10,1,934,7.468212370894783,55.9137866355999
10,2,1348,7.91123125675379,59.7767434813274
10,3,1470,7.968718700778901,61.0004473174327
10,4,1177,8.159298389866464,62.2151122558921
10,5,587,8.505448385724806,64.5321163834558
10,6,287,6.094215166177369,46.0072811549778
10,7,160,5.724658189875984,43.1295304602218
10,8,70,6.114563721048546,45.7272727499522
10,9,13,5.486188319612511,37.9171488509160
10,10,10,4.681253044012605,34.3950665050807
10,11,5,8.887514517451033,67.8041348453848
10,12,0,0,0
10,13,1,24.094283952480247,183.070107796528
10,14,0,0,0
10,15,0,0,0
10,16,0,0,0
10,17,0,0,0
10,18,0,0,0
10,19,0,0,0
10,20,0,0,0
11,0,169,8.121193138692542,61.1283634612312
11,1,491,7.9881411873683765,59.9714748206601
11,2,745,8.654581761345653,65.8928945110220
11,3,928,8.30451549034655,63.5681435055726
11,4,669,8.603748501276343,66.0895855762331
11,5,351,7.5050059050952775,56.6350619732512
11,6,235,5.9749978506426755,44.6465352200474
11,7,115,5.798363996211309,42.4731561624005
11,8,57,4.6026582351090095,31.9109638607332
11,9,24,3.898603254753812,28.6347135158445
11,10,3,6.851968150226029,52.2101740507347
11,11,0,0,0
11,12,1,24.103219107522257,183.262652917502
11,13,1,24.109086618757026,183.262652917502
11,14,0,0,0
11,15,0,0,0
11,16,0,0,0
11,17,0,0,0
11,18,0,0,0
11,19,0,0,0
11,20,0,0,0
12,0,97,6.4713062252709035,49.4938657780200
12,1,269,7.953740323820442,60.2791297542654
12,2,480,8.851431909246363,67.9321135885396
12,3,595,7.721884113493414,58.9531143198927
12,4,440,7.5555401248635645,57.2239671103445
12,5,249,6.875918393664608,51.6752697175993
12,6,133,6.657940619949067,49.4549114516840
12,7,54,4.707857112088395,32.9954660708701
12,8,24,4.172965909665536,30.9685929803574
12,9,5,6.395076159680647,48.3476027037868
12,10,0,0,0
12,11,1,24.118753150130786,183.857959751606
12,12,2,24.115471287272943,183.654190408620
12,13,0,0,0
12,14,0,0,0
12,15,0,0,0
12,16,0,0,0
12,17,0,0,0
12,18,0,0,0
12,19,0,0,0
12,20,0,0,0
13,0,58,7.424965362195093,58.1117750630772
13,1,204,7.591396613562393,58.0664811972661
13,2,291,7.033834619461235,53.7151440871903
13,3,392,5.520488374837381,41.4714509782803
13,4,279,6.145513979907725,45.9634569956168
13,5,132,7.069007012577972,52.0712151335100
13,6,74,7.3880077307541265,52.7830158119587
13,7,21,3.9446196576033996,27.3893298771743
13,8,11,3.6678287861404395,27.1293364282415
13,9,10,3.6640404591923015,27.2620503376695
13,10,10,3.6948432004909124,27.3591990175068
13,11,11,5.549253220719572,41.5281157254943
13,12,0,0,0
13,13,0,0,0
13,14,0,0,0
13,15,0,0,0
13,16,0,0,0
13,17,0,0,0
13,18,0,0,0
13,19,0,0,0
13,20,0,0,0
14,0,35,6.29385554043193,50.7991265391827
14,1,78,6.572087609350935,50.7005351446488
14,2,192,5.1995779365787085,40.1449513393344
14,3,282,4.503379579029724,34.4073587694140
14,4,178,5.554677869917359,42.4465641450430
14,5,64,8.576156718473644,64.1212531801379
14,6,27,8.912808617740351,65.5545206555001
14,7,2,3.5916418188431223,25.1079067992628
14,8,21,3.746173659903855,28.7240906018023
14,9,28,2.3182664697227033,17.8174513228211
14,10,37,2.0855162337785504,15.4495906201046
14,11,0,0,0
14,12,0,0,0
14,13,0,0,0
14,14,0,0,0
14,15,0,0,0
14,16,0,0,0
14,17,0,0,0
14,18,0,0,0
14,19,0,0,0
14,20,0,0,0
15,0,13,5.281439226698915,39.2382687828117
15,1,47,4.398123997241258,32.9715755964791
15,2,170,4.382722117277406,33.3818436683730
15,3,190,5.273071248729522,39.7889323556294
15,4,82,8.097303047063658,61.6461031334158
15,5,42,7.365008638474434,55.3207110498888
15,6,10,3.2702793911370662,26.3930559191480
15,7,12,3.7917082756617577,29.8999997741495
15,8,20,2.789977786991741,21.7278912387708
15,9,45,1.496698919999773,11.3176956368201
15,10,9,1.466985020842241,10.7865661009069
15,11,0,0,0
15,12,0,0,0
15,13,0,0,0
15,14,0,0,0
15,15,0,0,0
15,16,0,0,0
15,17,0,0,0
15,18,0,0,0
15,19,0,0,0
15,20,0,0,0
16,0,4,4.142748532868534,32.9481589845034
16,1,32,6.9379042873357255,52.2309273207875
16,2,90,6.8756111970407545,50.9442781923820
16,3,89,7.704897785830232,57.6465995746283
16,4,43,6.3580768077727585,48.5868167616059
