28.553923347088038,"[3.4227978556576066, 3.512395559303814]","[2, 3]","[0.544482482858166, 0.553594533402742]","[0.106700848445, 0.141188372974, 0.752110778581]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,83065,1.89163473509749,63.1715375118044
0,2,88369,2.45793042315226,77.7055405040182
0,3,77959,2.36977234938618,72.4541573119082
0,4,59403,3.03591098198973,92.3226611351835
0,5,41492,3.15807457222428,95.4187355963810
0,6,33460,3.32356032227391,100.606922956821
0,7,22320,3.33000856906731,100.305060467469
0,8,13312,3.41746236082047,101.374964168542
0,9,7785,4.97736366289030,150.200299129679
0,10,3770,4.74922271950199,142.696426569741
0,11,2168,4.05584183133666,121.907155793095
0,12,1526,5.44446397634814,160.638131021910
0,13,992,5.10477195173438,150.037562848052
0,14,349,5.52432063816774,170.639170689155
0,15,104,5.48082392222903,181.033431666199
0,16,104,6.61703256389861,209.981254876400
0,17,65,6.46652629263277,208.261838981585
0,18,22,5.73628009312631,176.793178756054
0,19,18,4.39994321884762,134.634790206087
0,20,11,3.47690763536634,101.926836346135
1,0,23196,2.34017161782012,69.7818306001069
1,1,78554,2.45104467425065,73.8911354394289
1,2,89455,2.57241927559452,76.7071987835418
1,3,73551,2.88836804498063,86.5924474705671
1,4,57187,2.84435558699054,84.5498293093547
1,5,41735,3.36100872299707,101.881554892751
1,6,30569,3.75657845723079,113.365263508996
1,7,21885,3.91922024625225,120.421297472901
1,8,14757,4.69206050865727,142.227924209621
1,9,7862,5.10719733695251,154.791557335851
1,10,3339,4.05728312326436,122.689868554964
1,11,1925,5.94804784862844,177.299299011967
1,12,1094,5.46805175689250,163.933664129848
1,13,188,6.13128954639667,207.828621543687
1,14,230,5.74051248269468,189.672159618470
1,15,946,6.26575975118473,198.422747434094
1,16,797,6.16596029857019,193.868115164434
1,17,390,6.57138907384362,206.473992553450
1,18,26,7.46950346178055,249.414564525847
1,19,7,11.3709316753737,385.480434449115
1,20,5,8.02280770345110,286.968574130207
2,0,13323,2.39117467780538,70.3928614542972
2,1,39579,2.54554051252962,76.9114185154112
2,2,45373,3.24728847730555,98.8901043956955
2,3,36517,3.27987908488375,99.8210159496688
2,4,27911,3.40054874447241,102.621072421249
2,5,18894,3.53229489638765,108.761882325848
2,6,13436,3.48747662871556,106.638065158235
2,7,8979,3.96401929384898,120.250300262539
2,8,5383,4.44138375997075,135.341015755952
2,9,3706,4.18750312438170,124.806414125192
2,10,2257,5.27067459278876,158.899506286092
2,11,744,5.22090008214856,162.969362087136
2,12,562,5.86222777583306,188.388505756956
2,13,311,5.94050552446885,186.491878950760
2,14,376,6.13327353282497,194.466281304139
2,15,513,5.85618745676726,182.888813752005
2,16,181,5.83570627233135,181.284062945154
2,17,20,6.40198998907852,203.242422553130
2,18,20,8.94888059948583,290.062933657679
2,19,7,9.28555987535826,307.927809756963
2,20,12,8.93997818932933,302.966985432439
3,0,4771,3.12097982205675,93.1794803041986
3,1,15130,3.16666117689153,96.3109362771471
3,2,19511,3.43642517773265,104.739838193882
3,3,18718,3.54943590198109,108.920530197118
3,4,12164,3.29381732972859,101.053396979692
3,5,9366,2.97698418726713,90.4824898628085
3,6,4704,3.44442006935142,103.257659832480
3,7,3449,3.59109694070463,105.262368595140
3,8,2956,3.17022218586225,90.0722278295114
3,9,1711,5.20057363806376,152.852749776849
3,10,533,5.30292317952814,155.411606984943
3,11,204,5.79717952069316,171.138153619015
3,12,303,6.93500825681578,226.120697426839
3,13,47,7.08892919390461,242.137057596166
3,14,61,7.31778978550758,240.711126758490
3,15,32,8.38033243942331,265.825936448696
3,16,19,10.3574355906804,329.899214891209
3,17,10,10.723638085509284,346.632784987584
3,18,23,8.83823362562784,308.158311630530
3,19,9,8.97780873400123,305.717447854872
3,20,9,8.585772537580745,292.679710534634
4,0,2995,2.82492891192283,89.6396865868085
4,1,8132,4.12298882516787,127.771764252848
4,2,8374,4.54513734791024,141.497045206176
4,3,8419,3.99997460034712,121.653158926888
4,4,6935,3.58020323040728,106.621526456137
4,5,2894,3.69286344014679,106.493638445856
4,6,1861,3.91950098463863,114.596623580850
4,7,1389,4.14833109462122,121.302251320738
4,8,1144,4.40343613771863,124.511488637099
4,9,612,4.19815662051729,116.404734615450
4,10,391,4.20235929158132,114.989490353707
4,11,153,5.59754258341731,163.852352225548
4,12,28,7.24207628403843,223.563285669089
4,13,22,8.29338323468585,270.765055220070
4,14,24,8.36034940803669,260.974267999785
4,15,32,10.5220745993843,319.528507092077
