46.83043450273675,"[9.637660064207749, 8.17732529592851]","[5, 7]","[0.527639506910096, 0.520893485912126]","[0.928600445197, 0.0713995548031, -1.96261557335e-21]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,14,22.8029167143931,526.400345690155
0,2,6,10.7736637202667,351.851162291485
0,3,14,11.3441284174616,303.980519782542
0,4,12,9.130660636560204,192.203609721475
0,5,14,10.3411305836468,192.394167143662
0,6,15,6.055066698391427,167.649647567421
0,7,22,11.217952730989795,206.037848835484
0,8,14,9.439383680088747,184.875926985092
0,9,14,11.557105341680861,206.974954144101
0,10,12,8.764149748691953,179.051458437013
0,11,8,5.490643265954742,111.419170183954
0,12,5,5.326915250575716,99.4215405567290
0,13,6,8.865235715665731,191.035803093616
0,14,7,12.7172109571636,284.251701960411
0,15,4,16.62027818900225,378.412905311231
0,16,4,12.42516964379293,259.657155339706
0,17,3,15.013787171636372,324.689562326239
0,18,3,15.147940510208505,324.689562326239
0,19,2,12.153642911274854,217.083666249147
0,20,1,0.4936413347938924,4.07771089818482
1,0,6,15.3587325634062,375.870020277140
1,1,23,21.4776945474370,426.471314898515
1,2,26,20.875712878812163,408.080439203671
1,3,48,15.63766493938749,321.665561946791
1,4,78,13.624578173907494,272.400842753211
1,5,100,11.0516569325542,212.957355432103
1,6,108,13.3965435413052,260.810591571213
1,7,100,13.3906354810020,260.170307169963
1,8,87,16.0702746484803,312.001564199272
1,9,62,16.1545804875688,312.739566439834
1,10,53,12.7322956205122,234.508285192984
1,11,46,12.0524357241667,221.091403954285
1,12,43,13.546243163864483,257.509475109170
1,13,27,13.29719658475642,249.515163118482
1,14,17,14.566704246055806,271.225369396293
1,15,11,14.346140041355893,304.479053728814
1,16,4,9.58965854429883,153.402782435349
1,17,8,13.870016920696477,266.810638664800
1,18,7,12.338932032639576,230.786025883951
1,19,11,12.259250924843622,230.021414336633
1,20,6,10.266217908379636,191.902585775466
2,0,11,20.8223736181735,383.395909209926
2,1,33,18.01582495469136,346.320084707210
2,2,72,19.1846334190750,396.242706315802
2,3,156,16.6902190380030,361.562567713574
2,4,225,13.9212772772339,295.500107937776
2,5,268,14.8330654944821,308.683036090343
2,6,249,16.6441850970589,343.000118163977
2,7,209,18.5167032427034,385.511542180639
2,8,167,18.0259130649644,360.556521671123
2,9,150,14.9408404709559,294.298635779348
2,10,121,13.6827837427344,264.035438907505
2,11,108,14.2517954618953,270.579726887529
2,12,78,16.3228960895950,316.536557985729
2,13,71,13.4209103614943,264.818475700576
2,14,47,12.9631807580166,269.063694651667
2,15,36,12.2033523755620,247.420341304773
2,16,34,12.8919529437608,268.926144697203
2,17,34,9.719125241541033,187.023714142324
