26.003137172082567,"[7.6480064770412595, 6.455543362401439]","[6, 7]","[0.734927283843517, 0.585111494604768]","[1.0, -1.11022302463e-16, -1.11022302463e-16]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,1680,4.89324189508548,43.7655504950859
0,2,1808,4.76562596985512,42.5205402275412
0,3,1854,4.831526966637387,43.6340452628529
0,4,1815,4.490065511316044,40.5220208156264
0,5,1529,4.8375167395335295,43.3256102715463
0,6,1192,4.566573769442004,40.9950694702373
0,7,838,4.193326982366904,39.5796553631529
0,8,468,4.769412390822565,39.7787934349278
0,9,263,5.399951755310049,43.6098264619009
0,10,173,5.574201821432832,48.7594112526118
0,11,101,5.982137071731174,46.8052407787461
0,12,66,6.54835929435978,50.5602976055801
0,13,34,7.508610586258156,58.4136961681263
0,14,17,4.933619459769218,40.0036660875440
0,15,10,2.8090964940570538,23.6939183304249
0,16,2,6.368798042698494,61.6077490301709
0,17,2,6.4778209470873875,61.8586989119007
0,18,0,0,0
0,19,0,0,0
0,20,0,0,0
1,0,1282,5.18882357362316,40.2870206754818
1,1,4050,5.50483569853575,43.3560361399728
1,2,5527,5.33173559204679,42.0490073252568
1,3,6693,5.350264687216978,42.1943751274229
1,4,7147,5.263764091958588,41.3351454543197
1,5,6468,5.2898221165905035,41.7155940780557
1,6,5084,5.253575242331734,41.2962621013678
1,7,3318,4.976277934898827,38.8807598943088
1,8,1721,4.905099065438681,38.0591310235362
1,9,965,5.327080245201169,41.4826931236767
1,10,530,5.770917381723999,45.6450190801325
1,11,300,5.722788542108162,44.7417262773716
1,12,181,5.794710686142701,45.4697435544297
1,13,67,8.018013893668018,62.9249932351893
1,14,46,7.2819646311021415,56.7561285857018
1,15,25,10.51058830126346,82.1146093712147
1,16,10,4.891197160345701,41.5737764382819
1,17,7,3.922691752056274,34.0098367719401
1,18,3,4.35031198734922,37.6907605411801
1,19,3,4.370890673692718,37.9225904500524
1,20,1,3.185615912561161,23.5390489723874
2,0,1710,5.79992290221537,45.7604392780088
2,1,5792,5.79666324972189,45.8664002277532
2,2,9984,5.70618211334128,45.2441339037324
2,3,13852,5.652131895217775,44.6727436263513
2,4,15375,5.46729863338184,43.2047671702142
2,5,13794,5.507406280054431,43.5935488269741
2,6,10370,5.600644987488263,44.2245035509644
2,7,6203,5.538777903386106,43.5207620822980
2,8,3550,5.826238365838552,45.5760706698250
2,9,2130,6.015219401640282,47.2900073601763
2,10,1274,5.98586176798603,46.7420950041997
2,11,689,5.571894937111686,43.3509258374534
2,12,342,6.008873629432807,47.0732640496111
2,13,90,4.894231235126158,39.2811995150200
2,14,85,6.602067154282059,52.7129707765546
2,15,45,5.601328717961235,45.9876801648903
2,16,18,2.4796938731631193,20.2665099556803
2,17,4,4.018762958572375,35.4498760972024
2,18,4,5.763752603584882,54.2252906486486
2,19,4,5.780031891828612,54.4317306765890
2,20,1,6.806089718527886,67.7879934087362
3,0,1864,5.65838449029089,44.7128074571088
3,1,6703,5.86042393028623,46.5122237049949
3,2,13329,5.86441391262544,46.5998998901367
3,3,18894,5.66351415305832,44.8563350240929
3,4,20559,5.67993996612978,45.1020887085034
3,5,18380,5.694295914698814,45.1589767613367
3,6,12876,5.794507625474062,45.7903136811471
3,7,7753,5.893009844139933,46.4705477436346
3,8,4554,5.93590775702939,46.7006789415573
3,9,2725,5.922888543680848,46.6686519733492
3,10,1621,5.8764761298624695,46.1427039497469
3,11,904,5.845570091646681,45.5481137106192
3,12,384,6.325285652832805,49.2729800490365
3,13,169,7.354743853481162,59.3394021940610
3,14,95,5.83138027784288,47.8578967653033
3,15,37,5.384564754095297,44.3705884842381
3,16,8,4.786829286622876,37.6102823368462
3,17,9,5.1370758823574905,39.0870711316529
3,18,7,5.227918046556668,49.8307938078173
3,19,4,6.06174330776269,60.1149748354319
3,20,2,5.13666940601923,48.4703778744453
4,0,1649,5.65715900004480,44.6318826212709
4,1,6116,5.96501470360869,47.3953307358839
4,2,12480,5.843799028784097,46.4666379488757
4,3,17670,5.83492751785041,46.4219319402960
4,4,19443,5.89681513750838,46.8678383991843
4,5,17031,5.819696533789714,46.0634567722431
4,6,11962,6.036732531178101,47.7825999554212
4,7,7431,5.960082190944026,47.0901866642051
4,8,4144,5.972677772389743,47.2826944331418
4,9,2503,6.048141321366279,47.8300929073472
4,10,1533,5.898104188656652,46.4290051201631
4,11,702,6.696505788806724,52.6891731873495
4,12,416,6.775152170805451,53.4424858684944
4,13,149,6.561607442191749,53.2446788492275
4,14,67,4.054324152744796,32.8222653479237
4,15,21,5.421806018683028,42.2329903596364
4,16,15,6.168118019504076,46.8794280034986
4,17,11,5.745524533963155,45.2233397365035
4,18,5,5.512420579283803,53.6699750201179
4,19,4,5.121473227792251,48.3869309437707
4,20,2,5.074730983506015,47.2968133719451
5,0,1126,5.82810590119797,46.2088342233608
5,1,4510,6.1072544931081145,48.6494424128671
5,2,9431,6.12111665655429,48.8760506754759
5,3,13610,6.020546396461215,48.0024888666636
5,4,14467,5.970639085275948,47.4462598123424
5,5,12505,6.062425461865198,48.2422830427366
5,6,8627,6.100178258018117,48.5173477703207
5,7,5105,5.8587814245321335,46.5351003786040
5,8,2953,6.088569785242128,48.3194094654819
5,9,1831,6.174227810114594,48.8544996702230
5,10,996,6.158771737328697,48.8576993915825
5,11,656,6.1787062028311555,48.7268110471591
5,12,342,5.54792133643463,44.0599360231782
5,13,86,4.647728234192818,36.8843539226868
5,14,46,5.698758603969755,45.6880134268457
5,15,20,6.352548754338164,51.9747751064156
5,16,15,6.252916232993893,50.3678464048241
5,17,5,4.774928364185045,39.1813612294697
5,18,2,5.152349340277453,49.3291018195665
5,19,1,6.91050121265377,70.0802953131305
5,20,1,6.893030695179071,69.4769842988268
6,0,624,6.8797699439930735,54.6799513984883
6,1,2693,6.445869586481183,51.4707452094138
6,2,5685,6.541152037031561,52.4635950865702
6,3,8391,6.1321036039131345,49.1330258538441
6,4,9027,6.244021334155259,49.9150498505986
6,5,7539,6.145323126765105,49.0793313490150
6,6,4990,6.087442718615895,48.6719088829310
6,7,3068,6.257641806143386,49.8734388557910
6,8,1735,6.821156809747354,54.3761017442485
6,9,967,6.91638068357500,55.5491539815794
6,10,638,6.693019521397996,53.5135621331396
6,11,386,6.309041064750841,50.9406541860115
6,12,173,6.13297106529485,49.3951366587098
6,13,58,4.95223611051474,39.2155062140280
6,14,27,6.701304677198301,54.4941699556046
6,15,21,7.100204059187965,57.5913920478645
6,16,10,6.048429454198557,50.0268994425966
6,17,3,3.123179269105465,25.4672727793960
6,18,0,0,0
6,19,1,6.906623299445414,69.9598383199479
6,20,0,0,0
7,0,352,6.04615707397715,47.9030521292362
7,1,1539,6.5338150379653674,52.1768261547768
7,2,3273,6.598422250531653,53.2639000946794
7,3,5045,6.26666905920476,50.4239516701591
7,4,5161,6.3674980691440215,51.0041164352544
7,5,4379,6.205564438405487,49.7623836217126
7,6,2972,6.456658837008806,51.9888114025878
7,7,1623,6.643709767517499,53.4622503453684
7,8,799,6.6054262878981,53.0110378527884
7,9,627,6.3097813125927065,51.0176331534490
7,10,393,6.065094730302975,48.5788189883330
7,11,165,6.644199166730669,53.2227107373171
7,12,93,6.3097322683400145,50.7777944306873
7,13,25,7.983424653774387,65.0975084329311
7,14,16,7.43931841812156,58.9938000230778
7,15,12,7.369808558937998,60.9327098353083
7,16,4,3.223868918065244,27.1834435330938
7,17,1,3.3345412882731793,27.4085751087076
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
8,0,193,5.250765631564643,40.9786808041865
8,1,915,6.005085423924476,48.4223034315001
8,2,1992,6.516137740245934,52.5212427258249
8,3,2820,6.503452703685286,52.5986994217777
8,4,2869,6.350257989460926,51.1092557156401
8,5,2610,6.246434627688551,50.4129048050459
8,6,1722,6.9421919365052585,56.2244583408607
8,7,911,6.81141699234272,55.0074262605261
8,8,505,6.683165338827794,54.2291550250166
8,9,414,6.508877049513051,52.6676082317305
8,10,218,6.685276405351801,53.6745630982308
8,11,112,5.246155097203429,41.4378297730805
8,12,56,6.683989279941558,55.8084009867769
8,13,26,8.473326353260894,70.4349528702577
8,14,7,9.801631542351279,79.2300358403144
8,15,3,10.809687783821667,86.65035550256262
8,16,0,0,0
8,17,0,0,0
8,18,0,0,0
8,19,0,0,0
8,20,0,0,0
9,0,124,7.262757748385962,59.7900048260865
9,1,545,6.489915482475831,52.7492550480598
9,2,1117,6.888346487972757,56.1437559449050
9,3,1544,6.493731542943268,53.0169938449323
9,4,1528,6.301735174126404,51.1355088387221
9,5,1405,6.757692393634163,54.7875821355929
9,6,1028,7.341258043592555,59.4341137798133
9,7,592,7.189093315554251,58.1518087782613
9,8,320,7.416891823002229,60.1778794099313
9,9,207,8.482391578710963,69.4430148785793
9,10,81,8.141243402093693,65.6372557335245
9,11,45,5.1285611077518345,41.2451079471523
9,12,23,7.483914714559162,61.3521584442128
9,13,8,9.999059827082888,81.1516701471608
9,14,3,10.771655879879278,85.55158078450847
9,15,0,0,0
9,16,0,0,0
9,17,0,0,0
9,18,0,0,0
9,19,0,0,0
9,20,0,0,0
10,0,80,6.837492904764258,55.9058173937709
10,1,307,5.644734786470737,46.4520395620296
10,2,695,6.108372250765961,50.1192257444059
10,3,824,6.487781656178808,53.4879630542915
10,4,831,6.738528846858123,54.6892401801592
10,5,851,6.544700383360506,53.1185554921073
10,6,694,7.148995538335753,58.1480795699324
10,7,366,7.171377126540298,58.5772721134631
10,8,254,7.214227193086926,59.1698771405724
10,9,155,5.9814379590068105,48.6351824345617
10,10,93,5.3505210250997,42.5539305504126
10,11,45,7.091889079290821,57.4129227774257
10,12,3,8.505661759538775,70.6658304440372
10,13,3,10.859819172672006,87.2713935115762
10,14,0,0,0
10,15,0,0,0
10,16,0,0,0
10,17,0,0,0
10,18,0,0,0
10,19,0,0,0
10,20,0,0,0
11,0,41,6.719535809519418,55.7232915999438
11,1,175,4.889035369448678,40.7123462043522
11,2,363,6.58977601044406,54.4352607972052
11,3,391,7.565156325487844,62.1122012259102
11,4,439,7.958038674664732,64.9883355170887
11,5,512,7.593776302604917,62.2793420934036
11,6,369,8.365669160087224,69.2837143697784
11,7,252,7.848908586066512,64.5599070810053
11,8,160,7.150943830935321,58.7446116626416
11,9,101,6.139926519962492,50.0993008461772
11,10,39,10.618347395404768,87.2746563744476
11,11,9,12.034134572697072,102.427148407645
11,12,1,13.876891912902234,110.659486473379
11,13,0,0,0
11,14,0,0,0
11,15,0,0,0
11,16,0,0,0
11,17,0,0,0
11,18,0,0,0
11,19,0,0,0
11,20,0,0,0
12,0,26,8.911215309382984,74.7605159045990
12,1,101,8.398448657375486,68.6815120726066
12,2,174,8.941563623471604,72.8779970632980
12,3,187,8.557617462352724,70.1787308179887
12,4,296,8.676899895442876,71.9375277329240
12,5,316,7.9644400045305925,66.4966576315511
12,6,269,7.0648037173729,58.6152931681044
12,7,173,6.167556617956923,49.9093498083679
12,8,118,6.701330403665644,54.0692909621822
12,9,62,8.733887746844783,70.6256734110526
12,10,12,12.930115413507187,103.007461860762
12,11,1,13.88508928284536,110.885051881014
12,12,0,0,0
12,13,0,0,0
12,14,0,0,0
12,15,0,0,0
12,16,0,0,0
12,17,0,0,0
12,18,0,0,0
12,19,0,0,0
12,20,0,0,0
13,0,22,11.612623735013965,95.9588755629394
13,1,62,13.030379228270325,106.903612237163
13,2,118,9.71219777248737,79.9387394594620
13,3,177,8.660794817749121,71.4770967081835
13,4,180,8.659949768160693,72.2929429676350
13,5,244,7.99525496894986,66.7040366856949
13,6,186,7.401820835069105,61.1763179119521
13,7,81,8.393839681478404,69.5767383064101
13,8,35,10.667485863881385,86.5683464963611
13,9,21,12.531328486087912,99.8926659078491
13,10,1,14.159896108491395,113.972397178889
13,11,0,0,0
13,12,0,0,0
13,13,0,0,0
13,14,0,0,0
13,15,0,0,0
13,16,0,0,0
13,17,0,0,0
13,18,0,0,0
13,19,0,0,0
13,20,0,0,0
14,0,9,8.873181817978498,75.3015707853634
14,1,58,7.8561403474752405,64.8682918470764
14,2,116,7.192767022422084,59.3571999381977
14,3,170,5.119113585859914,41.9943706431951
14,4,168,7.016981055745202,58.4754590634887
14,5,165,7.439559435399611,61.5135393594978
14,6,65,8.619927398496769,71.4031931853098
14,7,19,11.609248636164452,92.2791825664187
14,8,19,13.189168127705715,105.395657382947
14,9,22,11.896558588066084,93.7641031808130
14,10,5,10.628987421855735,82.9087943234919
14,11,0,0,0
14,12,0,0,0
14,13,0,0,0
14,14,0,0,0
14,15,0,0,0
14,16,0,0,0
14,17,0,0,0
14,18,0,0,0
14,19,0,0,0
14,20,0,0,0
15,0,19,7.441194620202857,62.2693829827989
15,1,61,5.44540825372903,45.4208744191257
15,2,101,3.9394942407760274,32.0206733260245
15,3,135,5.127394218961872,42.0924310869428
15,4,86,7.69717445780715,63.2283242891472
15,5,33,8.209170854920693,67.2789157590205
15,6,22,8.226436944480746,65.5858456499857
15,7,15,11.90706325958405,93.2359864733867
15,8,22,11.039513285104185,87.0082113120761
15,9,21,11.315029452188938,88.7568487314817
15,10,0,0,0
15,11,0,0,0
15,12,0,0,0
15,13,0,0,0
15,14,0,0,0
15,15,0,0,0
15,16,0,0,0
15,17,0,0,0
15,18,0,0,0
15,19,0,0,0
15,20,0,0,0
16,0,8,3.5330113306369775,28.3404513665114
16,1,45,4.063835532835442,33.0298632121062
16,2,49,3.7171298078707062,29.3855422953816
16,3,46,7.657656862462213,62.6023115479231
16,4,33,10.704116683642985,86.3514495852702
16,5,16,7.716269180327478,61.5866868701838
16,6,12,10.026909545075918,78.8117455356974
16,7,5,10.787485975065383,85.6597778715446
16,8,5,10.763396427542146,84.7519580555654
16,9,0,0,0
16,10,0,0,0
16,11,0,0,0
16,12,0,0,0
16,13,0,0,0
16,14,0,0,0
16,15,0,0,0
16,16,0,0,0
16,17,0,0,0
16,18,0,0,0
16,19,0,0,0
16,20,0,0,0
17,0,1,7.771970459352676,59.2537529291960
17,1,20,4.982146848952185,40.3152110951101
17,2,33,7.740401894708985,63.4161305851037
17,3,26,10.97583387175242,89.9075104769373
17,4,16,9.009297331822019,72.3311985084813
17,5,6,10.699426201639879,84.4873161231805
17,6,5,10.819883884255297,85.8313393487767
17,7,0,0,0
17,8,0,0,0
17,9,0,0,0
17,10,0,0,0
17,11,0,0,0
17,12,0,0,0
17,13,0,0,0
17,14,0,0,0
17,15,0,0,0
17,16,0,0,0
17,17,0,0,0
17,18,0,0,0
