28.2536179792819,"[8.400365007953303, 2.753794581102744]","[4, 3]","[0.637096647730115, 0.529905628466111]","[0.220265725921, 3.70152625132e-17, 0.779734274079]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,125420,1.33579419978734,43.1071104030534
0,2,147424,1.44897993108256,46.6759427753320
0,3,140266,1.56585764242987,50.0368619660394
0,4,126169,1.98583641804100,62.4050775906382
0,5,100721,2.53850290286121,79.5311378329240
0,6,91034,2.77093590510041,86.4012850047375
0,7,72116,3.68369951425383,120.371323114161
0,8,52130,4.36185158683948,143.543980763465
0,9,34934,3.94074826455322,126.223186831831
0,10,21730,4.67358895320772,151.290594405180
0,11,20553,6.08021355617517,200.999961155484
0,12,13585,5.34044685479194,172.317827205285
0,13,9851,4.63619336724399,152.796714179843
0,14,7862,6.368906365270472,207.922235505833
0,15,3233,7.023270291352983,223.534833667473
0,16,3727,8.287484056393515,267.197958403278
0,17,3622,9.221093354114414,298.636181581799
0,18,3006,10.59773766394885,337.122642771296
0,19,1258,6.038752519444278,192.739786554054
0,20,726,5.633168541818128,173.178580670941
1,0,35990,1.32671910696806,40.5851928237764
1,1,138266,1.65005728139479,49.9144414853363
1,2,146280,1.75739580319621,53.5298917380565
1,3,125241,1.93145966807563,59.6964926288378
1,4,94842,2.63762927033464,84.4962515826458
1,5,85489,3.05333605524290,96.3649455321164
1,6,64803,3.15595475165968,100.276925542828
1,7,52692,4.50279293387341,148.976611110105
1,8,37861,4.79163093375325,157.496502322701
1,9,26728,5.50743040729187,181.882895753498
1,10,20051,6.58951083016239,217.603074656739
1,11,15004,5.78060138519387,185.149217448028
1,12,10998,5.88327247313783,188.259901517972
1,13,8309,5.60014650236348,180.029277764275
1,14,5685,6.46834731728582,211.356840986114
1,15,3792,5.730615399895789,177.769090035952
1,16,3794,7.050552536532338,230.311817880834
1,17,3348,8.302086099278782,266.077727907376
1,18,2929,6.3474674202287105,201.137707874831
1,19,2504,6.822218272517825,221.566582544184
1,20,634,5.320978096862416,158.767980111624
2,0,21613,1.35230242814129,41.4813467716662
2,1,60073,1.87144728573727,56.9635784705310
2,2,64514,2.05587497989980,64.0578521461449
2,3,54729,2.22602331825608,70.3794372756566
2,4,48926,2.91320469924456,93.4611872180121
2,5,37062,3.13543840165788,100.356085791333
2,6,26241,4.59542571803817,153.425948647976
2,7,19446,4.93230965629754,164.535841342962
2,8,17083,5.74211978822167,194.391803498320
2,9,12949,6.22876466089765,206.849583814838
2,10,8365,5.567622144514466,179.905181983013
2,11,5971,4.783077266456762,154.019371335683
2,12,4121,5.815878271812565,186.641142079188
2,13,3034,5.141101105930468,165.711253942222
2,14,2694,7.64250116216985,256.452848472921
2,15,1216,6.944278239420809,220.463034030806
2,16,403,7.9975033023207605,274.561973019053
2,17,574,5.58731345600321,176.444604718525
2,18,290,6.8956124719939975,226.781348806272
2,19,1204,6.0399730778069465,186.461918043111
2,20,609,4.819171661785606,137.030125787610
3,0,4892,1.50810439143047,45.6288661247413
3,1,14823,2.1136181834041454,66.2638830922761
3,2,16707,2.79833313473421,89.2623781544702
3,3,15329,2.70907716975425,87.3071026159630
3,4,12198,2.941682633914748,93.0848458118708
3,5,10860,4.71998926985915,154.336582236711
3,6,9874,6.21015990795379,211.677738832016
3,7,7382,5.97646957156506,205.685487229010
3,8,5403,5.49247175560618,185.012013245757
3,9,4810,4.31484358136694,139.160949549736
3,10,3030,4.21699547077420,136.048125696499
3,11,1329,5.440103350957845,183.761821270272
3,12,945,4.361434192299114,145.402965710705
3,13,433,5.187861085484734,180.358372834624
3,14,512,6.577330012935583,210.752511020104
3,15,114,8.344143349534665,299.361250307906
3,16,57,8.079525105495518,284.474138380480
3,17,124,4.728492681178311,142.452672931984
3,18,131,4.8962699798495475,150.745889501467
3,19,369,5.660173586908051,170.606762362998
3,20,127,6.232540737276293,192.566445828825
4,0,706,1.482514438746919,43.1833100383577
4,1,1335,2.799743948508694,86.2537688813484
4,2,4397,2.476865106734288,77.5144005924007
4,3,3970,2.944605790148701,95.9950640201951
4,4,2560,5.9389657033630625,194.407195038369
4,5,2640,6.6787559427511,227.040898963275
4,6,2427,5.40123025466068,178.214027503375
