28.955342440459013,"[3.48381660008643, 9.703039061279629]","[2, 4]","[0.678846395384791, 0.549291712931055]","[0.124429248829, 0.875570751171, 3.69770466789e-17]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,28820,1.96125764191146,57.0074584337835
0,2,60422,2.38893161864226,60.7558096922668
0,3,72386,2.70122290540238,65.3023345812378
0,4,63579,2.88913380654271,67.8720542747221
0,5,47508,3.02149098300576,70.4733347268978
0,6,34140,3.14941016920070,73.2194412497873
0,7,24684,3.19469427367229,74.1241500066117
0,8,17801,3.28049747442879,76.3059096254219
0,9,12640,3.43690521619817,80.7886254145146
0,10,9436,3.48696924727683,82.4127565656980
0,11,7301,3.51822416143599,82.9451832108011
0,12,5511,3.49492789857231,81.8582019628688
0,13,3895,3.50548628123511,81.0918818061855
0,14,2760,3.66159614127468,85.3507585639010
0,15,2075,3.77137554039883,89.6056107143361
0,16,1362,3.90700088123485,93.1749564493302
0,17,969,4.06297129662238,95.4873317360458
0,18,722,4.00534689488700,93.0496017955204
0,19,474,3.81743067365626,90.3312132191215
0,20,344,4.21262083475922,101.481151579292
1,0,8769,2.86257607602060,66.3801765061819
1,1,36405,3.08024375490649,70.7049506518962
1,2,66585,3.18189915453864,72.7606873591765
1,3,76780,3.26083630593379,74.5900955715790
1,4,66407,3.33988283685515,76.5379993659473
1,5,47699,3.41648899661634,78.5012328604705
1,6,33926,3.56121050500016,82.5490168041837
1,7,24334,3.63220813238943,84.6328764250650
1,8,17566,3.68976465269385,86.1582484596240
1,9,13313,3.72269026382691,87.1331631468255
1,10,10505,3.66366140088720,85.6355732246617
1,11,8465,3.57937307581780,83.9039640692437
1,12,5880,3.32346986979026,78.5781852190127
1,13,4014,3.29774735613242,78.4939338683779
1,14,2811,3.50156681736042,84.6118051875980
1,15,1883,3.87612723476949,93.9340624782597
1,16,1269,4.36432050846762,105.823337982699
1,17,923,4.38839318514442,105.304529300574
1,18,740,4.33532091680090,105.612874289664
1,19,649,4.05308807796503,98.2604353191497
1,20,523,3.73321137041001,92.3754772013763
2,0,4843,3.17686345669150,73.1797351371833
2,1,18617,3.39449376185555,78.1243592124839
2,2,34895,3.42145421921567,78.5646624226119
2,3,40948,3.39202027754670,77.7249453026651
2,4,35236,3.50591724316703,80.6684648532452
2,5,25442,3.63641080736870,83.8263838566060
2,6,18034,3.72333142039759,86.2594898063645
2,7,13102,3.56147132112473,82.6242748004511
2,8,9671,3.50281194243859,81.3661043208366
2,9,7073,3.72618785975725,86.7619950957135
2,10,4979,3.94712709159463,93.2287739581170
2,11,3926,3.98403909674159,95.4480710133043
2,12,2680,3.85209043766456,92.4633650932549
2,13,1840,3.78179222620981,89.7631748919867
2,14,1356,3.97559905767114,94.5649201237615
2,15,1027,4.25196897410719,102.799474265622
2,16,822,4.20945630636894,100.063062933106
2,17,625,4.16484446174319,100.220798027311
2,18,472,4.43319734956006,107.831809698990
2,19,414,4.01597836575435,100.057661232119
2,20,294,3.76991954967570,96.5540905000046
3,0,2477,3.47187872431256,78.0849170508516
3,1,9380,3.67001123250592,83.8878925250311
3,2,17609,3.80660856349263,87.6010138332417
3,3,20168,3.88461589345229,89.4611347776537
3,4,16888,4.05323629413724,93.4840668603802
