29.416670336826993,"[3.3334757658668375, 3.951261947057424]","[3, 3]","[0.697508895491497, 0.620997130437654]","[0.242473142465, 0.0493295219237, 0.708197335611]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,37509,4.77150593136129,189.935931489609
0,2,28164,4.62764158076661,174.621143984564
0,3,21207,4.57597930013296,166.951517147444
0,4,14104,5.24907076626577,187.306856880058
0,5,9137,5.49500801618363,189.997987240276
0,6,7262,6.01171953195427,210.405756963810
0,7,5523,7.24027763531764,256.503647831236
0,8,3121,6.21047874842930,219.081318483602
0,9,2001,7.12513437797613,254.543896096032
0,10,1550,9.67588148225755,348.998355844196
0,11,1085,8.61621876465991,312.951885200117
0,12,1250,11.4860512679178,391.591226541315
0,13,458,11.1694437331439,393.213184852470
0,14,377,8.37333617183828,304.414067133009
0,15,173,7.51654312341125,272.794749553313
0,16,330,7.65538926985288,259.137044736597
0,17,78,7.95139486803208,278.828103394031
0,18,19,10.1022271854740,385.156901573946
0,19,87,11.1409991615257,396.421682032362
0,20,145,11.2295332667177,404.664241564057
1,0,21889,6.28318471448801,218.492200019453
1,1,60958,6.12860301440159,214.219406717531
1,2,64707,5.96803639884013,208.186435966117
1,3,50535,5.99610636983661,209.617409749271
1,4,35424,6.14605935267731,215.658071781612
1,5,23372,6.12046905419285,215.568559293041
1,6,15485,6.60464145648602,235.573883244154
1,7,10717,6.94464940992977,250.783193685904
1,8,7370,6.74766663590499,240.035077279365
1,9,6516,7.21938379324372,257.177944116785
1,10,4481,8.16331928661222,289.615391414356
1,11,2676,9.20905600496306,325.655642909948
1,12,1860,9.65094538623008,344.884407428884
1,13,1244,9.11045801422706,325.878887756216
1,14,1346,7.57589521984985,266.905750534230
1,15,753,6.29645122415517,222.495041158316
1,16,547,8.53568811907277,300.678059711997
1,17,238,8.80398784949885,316.234852484050
1,18,197,9.64116431699815,346.557767797624
1,19,182,11.8006076628034,425.595741659560
1,20,51,11.8333412365091,423.045555036211
2,0,25609,6.11855440139154,212.837027571962
2,1,60646,6.69416977642496,234.378905245252
2,2,73852,6.43346389431259,225.291670533370
2,3,57985,6.32402044183725,221.744730159028
2,4,44296,6.37488544189159,223.840624333030
2,5,27131,7.04924156381277,249.512025731636
2,6,18547,6.83591198961128,243.389930862331
2,7,14753,7.02515858099785,249.197870104816
2,8,10384,7.67056847698268,272.932684202653
2,9,6486,7.95070919578827,283.310852522942
2,10,5141,8.66759067429368,305.013812690301
2,11,4186,8.80586675594341,311.076527255070
2,12,2686,9.51999427686101,337.874395593763
2,13,2217,9.35431443641109,334.211501840231
2,14,1881,7.57593342654318,265.971171879106
2,15,1309,7.81116479090339,274.960054612915
2,16,504,8.39939294712872,300.615691986347
2,17,358,8.79971580822550,312.417677676730
2,18,307,8.76237588748352,307.839649865519
2,19,136,9.68843894336793,345.960735941991
2,20,37,10.4587450173599,405.045535309933
3,0,18324,6.80025509125582,235.775682792746
3,1,44570,6.97640584197372,244.576558139099
3,2,54063,6.92617875055634,243.706832499735
3,3,46346,6.66137130809975,234.893602054671
3,4,31132,6.61851485988826,232.791066595504
3,5,21760,6.95921891868308,247.529015837204
3,6,14766,7.63446281419963,272.527055678239
3,7,11021,7.82853599927176,278.838869606090
3,8,8504,8.39494969517220,299.029992721142
3,9,5236,8.80181360906267,314.622467371271
3,10,3671,9.36879957620728,335.403480303523
3,11,3309,10.0657825298311,361.145638206300
3,12,2202,9.73095889794947,347.206455043473
3,13,1537,8.12544377098854,295.995598515539
3,14,1230,8.66180134809675,315.369361212805
3,15,538,7.94510458245114,284.222772414783
3,16,483,7.43521159218755,262.390964680652
3,17,145,9.76810969508870,359.408162311275
3,18,170,8.10188574182646,285.923498046114
3,19,29,9.64253330736610,376.191780111611
3,20,76,10.4589943094630,395.669446290239
4,0,12444,7.32234707288335,256.504213335219
4,1,28331,7.66747378311151,271.338088392306
4,2,37730,7.08091797465728,249.779435532948
4,3,29804,6.98119893020587,248.117530280820
4,4,21649,6.88049566455993,242.991087598457
4,5,13967,7.76461352864398,275.610006806699
4,6,9783,8.18694415909985,290.722603082349
4,7,8191,7.61114038065273,268.826145825238
4,8,6527,8.10003067454406,287.985087051188
4,9,3994,9.30155877624056,329.834233110571
4,10,2720,10.3855803115776,374.474872818479
4,11,1984,13.4762610330146,480.614681565085
4,12,1228,10.1206811462048,367.669760923203
4,13,1241,9.31741112484495,343.122119359123
4,14,568,8.70362098019451,326.691287947262
4,15,346,8.25206805916272,316.811373055756
4,16,197,7.42177385335942,270.852826574411
4,17,106,8.17026812062170,295.738861690686
4,18,43,10.5099988289438,417.029637723294
4,19,47,10.0228484251183,394.063949556541
4,20,55,10.2658980034876,389.742400080376
5,0,8069,7.28798242510469,261.083362687156
5,1,20559,7.24210970114311,255.409354121016
5,2,26394,7.48701950424583,264.491546575847
5,3,20895,7.39070329225575,262.731299227235
5,4,14406,7.22658161707263,256.315251043619
5,5,9524,8.11060737852701,290.914712351154
5,6,6020,8.42941762669343,300.125996893897
5,7,5258,8.38297175502789,299.901050656524
5,8,4443,8.12956091589533,286.930370235305
5,9,2962,9.00185554606793,318.489849860990
5,10,2156,10.5180319012034,370.958526238587
5,11,1342,12.2695415590783,435.715508807205
5,12,1435,9.46185832007896,349.773782983173
5,13,1089,9.17061835336652,343.772344965820
5,14,704,9.36269591524503,355.552188621870
5,15,448,7.67866342521777,293.179456721286
5,16,280,7.86411390971353,304.219760915069
5,17,99,13.0431873641023,552.523755020415
5,18,52,8.92179130981558,361.068377229814
5,19,30,7.75446757481300,300.931979458314
5,20,12,11.2410734843513,427.711361348878
6,0,6048,7.40326902752878,263.359776073667
6,1,13287,7.96069658380474,283.564551391976
6,2,18054,8.15101230900213,289.625695285831
6,3,13594,7.64098213011919,274.189297982632
6,4,10074,7.29179959438240,261.420531804340
6,5,6714,7.63407170392892,276.390791835844
6,6,4571,8.10254641365482,293.188010150237
6,7,3496,8.74358890935970,313.677601734292
6,8,3243,10.2550954128188,368.733377346763
6,9,2666,9.26475492099539,330.487822069877
6,10,1779,7.71304796565904,276.996824377234
6,11,1034,11.5467166769332,421.085414661935
6,12,1082,9.96449466956973,369.921053371253
6,13,515,10.4709423133161,400.704647916689
6,14,207,13.0987632557010,510.787596917831
6,15,160,10.5287640862321,432.698444236567
6,16,204,10.0542517125438,414.833066573755
6,17,79,11.7862127374920,490.843299069279
6,18,61,9.309783625741185,349.886973882402
6,19,43,11.6096869444433,436.649380488643
6,20,40,12.5346800792429,470.066010061580
7,0,3936,8.74725562504348,309.219412589454
7,1,10459,8.93064586728858,321.981971047691
7,2,12094,8.00843026852848,286.340051160758
7,3,9366,7.76123251254353,277.666744514198
7,4,8004,7.62913384590261,270.226242153328
