31.029902312678807,"[9.61602115902733, 3.482004443972431]","[6, 4]","[0.762803975273699, 0.612677119359319]","[0.388699912181, -7.3560503146e-21, 0.611300087819]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,34004,2.11626067302240,76.3515560575574
0,2,31934,1.78444807092785,62.8547764467348
0,3,32210,2.13724074986865,76.8513357971238
0,4,28066,2.52129846254765,91.8039272449779
0,5,23977,3.09759274574038,111.562337267791
0,6,20507,3.4663937723631344,122.497816868047
0,7,16124,4.31451437697598,153.651771050414
0,8,15792,4.794793047649838,177.582503819550
0,9,13367,5.279502530202641,196.662002764948
0,10,10888,5.57161629644037,207.173188969964
0,11,10012,6.382800365506365,238.770109656728
0,12,8257,5.944613855782355,224.345315151356
0,13,8015,5.995618262456105,229.892089666865
0,14,7103,5.505740294670814,207.024783819558
0,15,5719,6.278074704121105,238.198392860143
0,16,5163,8.631171272056104,344.591015603288
0,17,4706,9.324647435427197,371.903439933180
0,18,4033,9.72650896831179,389.660839334969
0,19,3040,9.45632766139066,381.672717207574
0,20,2997,10.12119869980221,412.828621329447
1,0,9415,2.30058875012436,77.1824082842971
1,1,40008,2.39525727019010,82.0938580584632
1,2,48685,2.35502898728853,80.4861301286746
1,3,48567,2.49889654943128,87.6627525441674
1,4,38652,3.14675549528197,111.832266913410
1,5,29731,3.53392704836687,124.814113819017
1,6,25977,4.085269443998205,144.904822601054
1,7,22055,4.73287245970146,172.848126397582
1,8,18989,5.466052437832749,202.237141051381
1,9,15684,6.212572860332879,235.668197566794
1,10,14342,6.355717808474831,239.271230262109
1,11,14149,7.13996737896301,277.421448254007
1,12,10964,5.872096755539404,222.823594757499
1,13,10790,6.311896191382709,240.654884534168
1,14,11660,5.861374657793418,223.280866343883
1,15,10227,7.542448008718529,297.634801637413
1,16,8974,9.113382329075902,365.410381716513
1,17,7847,9.842591398623822,395.043086873262
1,18,5593,10.403962592395013,418.465681946550
1,19,4687,10.647030726841097,436.655205316242
1,20,4083,10.592731653871706,427.684785615702
2,0,6782,2.25259017443896,76.8835833158418
2,1,26381,2.89804699518288,101.662478815335
2,2,34730,2.71681990603758,95.6359334522959
2,3,33650,3.20379773200885,115.143583728825
2,4,26037,3.64045558851291,130.904845404052
2,5,22182,4.12187365377090,147.478293565435
2,6,18768,4.909132906868021,179.186249865007
2,7,15189,5.35827815259861,198.599292204624
2,8,13335,5.864422140024413,218.757164880631
2,9,12762,6.403176528243973,241.139338200965
2,10,13081,7.2919349776327,284.308109067537
2,11,10832,7.022478051418701,273.644531437545
2,12,9091,7.19799643530042,276.860814585169
2,13,8108,6.681406557224677,252.080540378694
2,14,8436,7.891209049320051,312.995698287109
2,15,6647,9.22261248851155,365.476832397692
2,16,6486,9.807273112407803,401.762651193807
2,17,4484,11.07643139620251,447.794364462185
2,18,4020,10.135733117191963,417.032933769314
2,19,3061,11.363208461660273,471.657093712268
2,20,2923,11.66620517386371,481.988229490341
3,0,2704,2.5141827340561798,86.7261355206262
3,1,9590,3.42787981515926,119.679230088072
3,2,14299,3.4312038619649425,122.657199738175
3,3,14676,4.01734937902276,146.641082058401
3,4,11961,4.4434449753839145,161.099781286774
3,5,12436,5.02026428162715,184.143331965009
3,6,10033,5.69653306806554,215.643578558024
3,7,6324,6.404787694233588,243.715684422256
3,8,6150,6.3464237818554645,233.865087555398
3,9,6641,6.764911958350369,264.134630178129
3,10,6718,6.865902930217163,266.791356337862
3,11,5970,7.770505847565132,308.197846381546
3,12,4710,7.1568127416355765,275.406532498345
3,13,3865,7.7632990558801875,302.284694444081
3,14,4132,9.3242659040456,377.679984458407
3,15,3679,11.066676642497207,454.284627948152
3,16,2805,10.645864582382083,430.709219250831
3,17,2021,10.12783662257384,410.543418224850
3,18,1408,11.262627258975746,470.264593261254
3,19,1506,12.825399737546471,531.160336259192
3,20,1207,12.89880348378829,541.155691565025
4,0,773,3.75110056088954,126.813104631325
4,1,3440,4.162071580609923,152.787555525395
4,2,5048,4.341635001618015,162.023855771569
4,3,4732,5.13076796941421,184.641801556410
4,4,4739,5.64567275075115,207.290334716526
4,5,4167,5.5120670686737325,206.533003287717
4,6,3198,5.386551024457066,201.410378320928
4,7,2220,6.041958805793846,226.899394444021
4,8,2237,5.942101851093277,229.994094379452
4,9,2746,6.948100708201301,280.353826708211
4,10,2485,7.715194225774437,308.006295093510
4,11,2029,6.344027250431762,248.780803813551
4,12,1399,8.415419993203447,329.724894053038
4,13,1353,10.709793642113258,427.719395812683
4,14,1682,13.044155070547243,544.587612173359
4,15,1248,11.0669397739429,450.843632951773
4,16,1201,9.970882493419666,401.748919861619
4,17,608,10.354195589482144,428.644581730355
4,18,431,12.730826301138805,531.540666914054
4,19,417,10.639216694389791,435.964058098856
4,20,256,11.401960440792042,477.243367317642
5,0,263,3.068991077485362,113.881121418043
5,1,1048,3.9028565114593357,146.777983290373
5,2,1042,4.43884400827088,160.013111565607
5,3,1370,5.871861318292624,214.551497455174
5,4,1286,4.702365868371137,171.836590111363
5,5,1158,5.505783702095738,203.887145336191
5,6,978,5.856869945134594,210.010009644744
5,7,625,4.73488539774446,173.998141530374
5,8,683,6.358792959972209,240.915789039899
5,9,709,6.335360535969465,232.671467236349
5,10,567,12.246592460808126,503.675963314752
5,11,285,7.803422667070829,302.243685327452
5,12,347,10.196722177337955,421.019433227637
5,13,286,9.987107310417219,418.409595161102
5,14,200,13.179775663706739,562.106305117240
5,15,183,13.370725657760227,558.150205025980
5,16,138,13.23977108458999,558.663385307770
5,17,149,9.502354182123646,397.825906709011
5,18,129,9.574910144482507,399.375854795899
5,19,152,7.621428347861149,308.694978446380
5,20,52,10.894143598898584,445.848061988838
6,0,90,2.471955868937166,90.4855622458812
6,1,90,3.818511458476597,133.320516269635
6,2,319,4.9862425615715305,179.086786832547
6,3,235,6.04560684398890,215.256365110929
6,4,445,6.467767090840774,243.974561448320
6,5,289,5.388674820871023,187.866250180484
6,6,151,6.917956416197074,252.274543984573
6,7,235,4.664022826966467,168.216040484470
6,8,243,5.913622303827575,208.270691094156
6,9,305,8.502949789862543,319.007199924552
6,10,118,13.191089444234372,546.688896266254
6,11,121,18.00678038441597,780.795185419812
6,12,111,18.531086369109534,804.411879576153
6,13,56,17.221377782871198,742.053211687349
6,14,138,16.978313552681648,726.859220722859
6,15,45,15.498972187160721,654.470998726472
6,16,12,8.810583374179009,366.546294902362
6,17,27,13.471768816467216,591.073640231249
6,18,27,9.759485778698076,383.583407591341
6,19,25,9.329962539322459,352.618811212773
6,20,5,7.705616209856116,297.978942519943
7,0,1,0.9179197017493257,41.1261550677775
7,1,10,3.052778762433481,101.098462802002
7,2,93,6.310396262704828,218.971677398596
7,3,95,6.267708940979574,219.528243309165
7,4,87,7.277995699069318,254.343510170238
7,5,21,7.613788225588854,268.863580407605
7,6,18,6.0880008462189314,218.716124956487
7,7,75,3.7242350408643325,131.783665175159
7,8,9,5.516377541957054,201.181014993989
7,9,4,8.561910490579264,319.552946077431
7,10,50,20.005518819681523,876.080209654217
7,11,138,21.026748736107027,920.268493055082
