31.568559335246192,"[3.153690622612362, 8.834748175357914]","[3, 7]","[0.716793808938189, 0.691742940058280]","[0.212105244926, 0.787894755074, -3.92523114671e-21]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,5418,4.65175164545043,146.948784700051
0,2,11702,5.56425107316881,152.643573921263
0,3,15705,6.01514072294938,156.348114458188
0,4,15763,6.29251397971497,158.216340319547
0,5,12353,6.45982931335027,160.639333199357
0,6,7960,6.64963414256498,163.741599577137
0,7,4536,6.74091072936717,165.189872727682
0,8,2428,7.08945055740147,172.370029477190
0,9,1227,7.34632840501940,177.721869824266
0,10,680,6.93113896083826,167.518216126516
0,11,286,6.64435178650878,160.432991008828
0,12,118,8.83214161659270,211.770568353117
0,13,73,7.92495408186208,194.233669604761
0,14,33,8.94543533642312,230.328803840974
0,15,16,8.59224057276502,213.933334031381
0,16,8,7.87973833014384,188.266288336252
0,17,1,8.46166146459128,208.684402466877
0,18,0,0,0
0,19,0,0,0
0,20,0,0,0
1,0,2572,6.74763026111702,165.306407852380
1,1,11515,7.11928329891278,174.496908876331
1,2,24051,7.32121782621250,179.498085696851
1,3,33351,7.26638460731677,178.143384356802
1,4,33932,7.18984589212404,176.132768755636
1,5,26652,7.24097959963491,177.367998155880
1,6,16872,7.50989187773532,184.090059864723
1,7,9376,7.69750333876510,189.200488068874
1,8,4791,7.84373174445732,193.613758491283
1,9,2348,8.06435363577644,199.838832657564
1,10,1220,7.44789069318074,183.825959252863
1,11,655,7.27926414586984,178.522812587895
1,12,320,7.15064658960904,173.040654751587
1,13,145,7.08548671823946,170.688509199630
1,14,88,6.00911562380859,145.742829110094
1,15,38,6.47399053185658,157.239251299325
1,16,7,11.6370934811877,283.155782978033
1,17,1,9.31292983918858,205.019346190706
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
2,0,2624,7.75385858114886,191.168158653984
2,1,11890,7.98479487553111,196.423357658377
2,2,24956,8.04433232812634,198.008604658251
2,3,34042,8.05337653226240,197.832316021566
2,4,34080,8.00801818917292,196.708512743039
2,5,27111,7.95002373768630,195.212247146412
2,6,18243,8.03559662904486,197.148124877157
2,7,10422,8.07545124463118,199.002920078708
2,8,5117,8.20222884448764,203.343750366200
2,9,2382,8.23985995601781,205.244856812420
2,10,1132,7.34881655536160,183.372287189412
2,11,575,7.41677186211800,184.869651284085
2,12,267,7.36506234153419,181.110339854577
2,13,168,5.64710850947876,137.185043959090
2,14,83,6.04005339956514,147.721457675111
2,15,22,5.33458995320361,129.603534858285
2,16,5,8.92490902321294,216.727400380934
2,17,0,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
3,0,2129,8.17127841969256,201.485479318943
3,1,8755,8.13998726382463,200.593579549709
3,2,18613,8.17718432253070,201.229454985843
3,3,25051,8.26825663365269,203.755690989070
3,4,24913,8.33628250567957,205.395912019909
3,5,20066,8.31340629590722,204.959877900457
3,6,13446,8.21683970997351,202.827963046774
3,7,7674,7.85802952943090,193.795867671570
3,8,3861,7.95761407650583,195.966400960849
3,9,1928,8.24665794997110,203.844128463376
3,10,906,7.89302522462282,195.836240190790
3,11,471,6.20451143549180,151.120161339347
3,12,247,6.73633935637016,164.356962122376
3,13,96,8.74757213148440,214.637758011960
3,14,42,6.24616381761456,155.067184521957
3,15,19,5.13227676747350,128.825220392299
3,16,13,3.42103569922444,81.1518515882509
3,17,6,1.89000321412811,45.0327686224114
3,18,3,2.20316831108019,53.8066805916840
3,19,0,0,0
3,20,0,0,0
4,0,1449,8.99024656544190,221.843440834388
4,1,6268,8.69431988791405,214.481822916190
4,2,12579,8.46777323493612,209.325506818912
4,3,17090,8.54003176796390,211.151530434036
4,4,17578,8.46901245049010,209.041917684763
4,5,14242,8.47814308672348,209.567723964815
4,6,9122,8.59739789890132,213.046596661478
4,7,5030,8.52727674390689,210.504734907881
4,8,2891,8.18353376205167,200.773389902172
4,9,1576,8.36930252487474,206.487939659245
4,10,851,7.41082004130775,182.360679079521
4,11,455,6.42717093610505,155.575036420322
4,12,165,6.23787279009902,152.860911574000
4,13,66,7.23223150885101,185.679463560883
4,14,54,6.19488906312350,155.709723147991
4,15,31,6.37097531800179,155.780862453302
4,16,12,4.17653782698512,98.1015753463498
4,17,10,2.52817645695610,56.5578170148705
4,18,9,1.97209211762474,42.2825313018369
4,19,5,1.63858325059170,35.9193995193894
4,20,0,0,0
5,0,1010,9.00063404802633,223.973458532707
5,1,4194,9.03300991129094,223.445608287376
5,2,8734,9.07114354793268,225.077510539812
5,3,12422,8.89360720698558,220.444027542272
5,4,12553,8.61512312669145,212.947985682991
5,5,10267,8.59822656031645,211.995663904260
5,6,6721,8.49145620249701,208.921980488122
5,7,3765,8.47861915583004,208.547577747826
5,8,1995,8.40438697939086,205.955455692704
5,9,1113,8.03401696294106,195.977782998730
5,10,611,7.38744469628228,179.826552025951
5,11,279,7.46655420283596,182.281940481093
5,12,155,7.33419370865500,178.777885614527
5,13,66,8.24866783195652,201.892329470195
5,14,48,7.14058888073476,177.261070068049
5,15,27,6.09606102876540,150.650006046734
5,16,26,3.90740868751211,94.0169698692845
5,17,34,4.20767542345366,100.220599740356
5,18,23,4.49987759269237,106.595949290628
5,19,16,4.76086627128722,113.218260668580
5,20,0,0,0
6,0,707,9.62210176093032,237.614007092868
6,1,2852,9.35478386977385,231.268805867995
6,2,5952,9.41118632485668,233.527729380943
6,3,8460,9.63648653694498,239.467135101277
6,4,8590,9.20896803405096,229.206255406755
6,5,6827,8.79117866255652,218.854527307273
6,6,4416,8.78174633688892,217.948820155723
6,7,2496,8.62599889234867,213.680860351835
6,8,1323,8.91738602209139,220.733326374059
6,9,711,9.20350887555508,226.618643114188
6,10,346,8.57391402640245,209.268378222691
6,11,142,8.99415231945176,218.913298696552
6,12,80,7.70655114575541,186.843138821967
6,13,42,5.07856489209603,123.301309599613
6,14,24,4.52880944631984,112.213573202023
6,15,18,3.85088760788413,97.6462458030915
6,16,15,3.54403919400509,87.9384463364743
6,17,13,4.34737422809639,106.031114287871
6,18,10,4.91917324170140,116.274608082326
6,19,15,4.92920648389535,117.024729122202
6,20,5,4.894379103772771,114.805522194665
7,0,433,8.94834677277822,219.994194852302
7,1,1758,9.68286383270866,241.363634163002
7,2,3627,9.71518107397541,242.785352803698
7,3,5271,9.42790388681519,235.559373856097
7,4,5406,9.17026268944314,228.727356551165
7,5,4361,8.93766670507279,223.281709503843
7,6,2865,8.88573282768511,223.300489424278
7,7,1682,8.76307724025949,218.421371093564
7,8,919,8.20467988485821,202.749319904377
7,9,490,7.62507677513443,189.034060882878
7,10,275,6.70460292644439,163.698086413232
7,11,176,6.75302426163933,166.108771324221
7,12,74,8.01730720896448,204.629679894861
7,13,24,8.77164727891748,231.282853235364
7,14,4,6.49497429190641,179.820080481212
7,15,5,4.17186589603121,109.468089756214
7,16,14,4.45706049840147,106.540331498248
7,17,22,4.75591736102395,112.381432602187
7,18,20,4.89549509186372,115.061535255503
7,19,10,4.884700170201287,113.857677260535
7,20,0,0,0
8,0,336,9.08342579897104,227.439594614930
8,1,1408,9.69210766093251,244.023384650858
8,2,2761,9.72513038702061,244.880419102803
8,3,3883,9.51843012981717,239.568680584792
8,4,4070,9.39554642735853,235.580448720780
8,5,3344,9.01187820404292,226.277448614886
8,6,2116,8.91763359618482,223.854060775760
8,7,1220,8.97855785363844,224.275341633291
8,8,675,9.01201264404214,224.880142479775
8,9,355,8.70955495798467,218.096678259618
8,10,153,8.92631226878586,225.052063522796
8,11,51,7.14576524624274,175.997841669496
8,12,25,10.0295396620367,249.310289177184
8,13,13,13.7374883099796,345.027975647764
