1.2399756274274982,"[2.066626045712497, 2.4749830881868142]","[3, 2]","[0.865062776701162, 1.21523324563719]","[0.250000000000000, 0.500000000000000, 0.250000000000000]",50000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,150705,0.551334797979733,2.73860657170342
0,2,131533,0.732506321171297,3.09329255654938
0,3,99811,0.978163046015002,3.39505111339725
0,4,79445,1.23374459005756,3.87210381385803
1,0,142002,1.05784742409807,2.30503334849742
1,1,186897,1.12666415766928,2.40114115462730
1,2,135818,1.26514792329843,2.94966807028350
1,3,105670,1.42720910928631,3.57655200988314
1,4,83560,1.62815479378565,4.33216970390765
2,0,61481,1.37189587918883,3.64696155461557
2,1,66563,1.40612270911657,3.46529148640396
2,2,62406,1.53217902959595,4.29300266256454
2,3,57921,1.67067672873719,5.16946546588350
2,4,50066,1.89133194347994,6.31769876953545
