5,"[4, 4]","[2, 4]","[2, 2]","[1.0, 0.0, 0.0]",10000
n1,n2,Data Points Used,T,K
0,0,0,0,0
0,1,129491,1.1797017960733245,6.209617669556151
0,2,148424,1.1841259265488484,6.275257226239642
0,3,104297,1.227558641370535,6.44474215686843
0,4,64087,1.2856734134159302,6.318153360911298
0,5,40860,1.6292259249931653,6.9162579287907215
0,6,29330,1.774350568023817,6.448305241059806
0,7,21381,2.0738543490031898,7.439234653316834
0,8,17737,2.336013650839125,8.15143181767499
0,9,13432,2.763326427317292,10.31839644640578
1,0,256953,1.7510722392808389,6.167148140948386
1,1,506578,1.7182457586592683,6.049894541504315
1,2,474240,1.714178547871506,6.04897093969984
1,3,304658,1.7708958013351166,6.288203908622817
1,4,158243,1.8734240117949852,6.742074619416261
1,5,85228,2.0298167339144038,7.170462535727269
1,6,51806,2.096715367821418,7.21093500583342
1,7,39009,2.2713573358677275,8.30892631259845
1,8,29237,2.4440764683154272,8.799445355064751
1,9,18808,2.556453773575217,9.509699854203921
2,0,251815,2.0704413059707636,7.796848931202158
2,1,459692,2.011212045661931,7.5567117031083795
2,2,421717,1.998337063521425,7.42105188316048
2,3,257231,2.08393077077198,7.955475760158444
2,4,130558,2.1556619414918834,8.1817899608737
2,5,65310,2.3340933729450986,8.893812652376427
2,6,39159,2.4670481573725773,9.894637489107145
2,7,29874,2.511126939566727,10.126244099266007
2,8,22767,2.685353628082211,10.630805391361772
2,9,17031,2.813623145878557,11.233849422684873
3,0,171200,2.322307322462246,9.30476978183092
3,1,321704,2.2993809656919777,9.151608936308003
3,2,295980,2.3205068489031446,9.371648109865038
3,3,183884,2.430170006546356,10.114203374744896
3,4,95555,2.5239917944720336,10.47768928025627
3,5,48915,2.7276265417760746,11.615564080207067
3,6,30079,2.9018342647782394,12.715349757539068
3,7,25974,2.967325407161542,13.049109027202968
3,8,20613,2.9192739267936783,12.066673334206417
3,9,17431,3.036695596671767,13.272458299849298
4,0,116298,2.6139782778733593,11.132881356898322
4,1,226109,2.6591926282065117,11.528971231713125
4,2,212385,2.7024498670996904,11.874276131433179
4,3,141395,2.809293783157985,12.476707926907155
4,4,75522,2.8241595767580696,12.368858322083545
4,5,40025,3.015182898616822,13.292418022445414
4,6,30209,3.031918633764408,13.795495900614135
4,7,25010,3.1772976764152006,14.568713332238021
4,8,21681,3.1291029124453953,14.205563801970637
4,9,17529,3.1384058281007947,14.873405984429766
5,0,81268,3.0324855412555527,14.078211746326113
5,1,164649,3.015173851687707,13.80902009130531
5,2,158388,3.09643959714495,14.1792997664705
5,3,107240,3.0717111144233096,14.19543852334101
5,4,58059,3.009461282713349,13.464543266640765
5,5,34275,2.9164866435803756,12.999033643308804
5,6,25206,3.018193568130901,13.73401034187783
5,7,23146,3.146061196194556,14.546630328915452
5,8,21072,3.17922242711735,14.815196238637663
5,9,17420,3.1612264858615218,15.322087010897311
6,0,61019,3.3337395023514302,16.236048768057174
6,1,121942,3.3756189381357693,16.302544310376536
6,2,120152,3.4198563710386707,16.78981697199543
6,3,82548,3.3387506012546058,16.306189222529788
6,4,46113,3.314192667966067,16.0436657044451
6,5,28244,3.4571250927890445,16.401499834285712
6,6,22144,3.616307494376093,17.348824044500294
6,7,22315,3.549376002729063,17.02450890479087
6,8,20099,3.3490409791298985,16.504536584337718
6,9,17389,3.4541414738318954,18.180699149144132
7,0,46193,3.7601230291122256,19.218539964934948
7,1,96242,3.7209813496720443,19.00111377920893
7,2,96814,3.588951787762543,18.026497881774972
7,3,66863,3.5469899739139286,17.762333995506275
7,4,37895,3.6911471648416043,18.88272857914812
7,5,24760,3.6376294269392733,18.55064154722199
7,6,21763,3.947069146830553,20.590653915474242
7,7,20138,3.6145342099705307,18.6117042992335
7,8,17762,3.516631895579721,19.009691632636798
7,9,14315,3.6935005222459747,19.74838102154742
8,0,36175,4.06800315493767,22.037817851331553
8,1,73577,3.903356665913488,21.08768951617371
8,2,76760,3.8273429360732854,20.675769552060032
8,3,54386,4.014150478567858,21.959313886290445
8,4,32511,4.121851680701336,22.628923431788632
8,5,23746,4.093603197967491,22.193234958731384
8,6,19908,4.0838093355974685,21.928510136362405
8,7,18169,3.9538324678409276,21.924452488803215
8,8,15726,4.001872581977479,22.596921421526368
8,9,14059,3.959465855447151,21.671605693106216
9,0,27853,4.229898782721162,23.545196741456422
9,1,57290,4.058936050566133,22.4638594404757
9,2,60062,4.168533244204065,23.409446794795908
9,3,42811,4.357839060739076,24.50630774750442
9,4,28510,4.373759522316526,24.92487651471483
9,5,20957,4.418754991060641,25.31966471976114
9,6,18795,4.57706309231501,26.95273146040341
9,7,17074,4.62530622312832,27.64616495803158
9,8,15640,4.271079318427738,24.877989823328146
9,9,13233,4.212052967566425,25.01831218047118
10,0,20851,4.5063596719756775,25.753625192626018
10,1,42894,4.5812361995286075,26.747005278847784
10,2,46788,4.811876246535153,29.226785265697714
10,3,36314,4.839526474485352,29.745750587849415
10,4,24175,4.772193246340834,28.976756914719534
10,5,17651,4.856698030060826,29.60743075640496
10,6,16123,5.266162500330075,33.646915071833
10,7,16381,5.036815361644718,31.5717377123266
10,8,14347,4.85181938821957,29.898230538791534
10,9,12051,4.760902723944687,31.03856458265603
11,0,14818,4.710580125202796,28.2156450901079
11,1,33588,4.822492053537912,30.007894976876845
